Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Paris,Metz,A,2.0,0.9,2,0, 2-0,V,,,O,O,,4.3,1.2,O,,38,19,9,13,57,15,16,2,0.7,0,74.1,0.05,1,0.0,0
FR,15/05/2024,Paris,Nice,A,1.0,1.4,2,1, 2-1,V,Rouge 2,O,O,O,O,2.0,1.7,O,,21,27,7,16,25,6,17,2,1.6,3,30.0,0.0,0,0.09,0
FR,12/05/2024,Paris,Toulouse,H,2.1,1.6,1,3, 1-3,D,,,,O,,3.4,2.8,N,,27,31,11,20,43,8,18,6,1.5,2,56.3,0.02,0,0.18,0
C1,7/05/2024,Paris,Dortmund,H,3.0,0.7,0,1, 0-1,D,,,,,O,4.1,1.1,,N,56,25,11,21,80,14,30,9,0.9,0,47.8,0.4,0,0.5,1
C1,1/05/2024,Paris,Dortmund,A,1.7,1.7,0,1, 0-1,D,,,,,O,3.5,3.1,,N,28,32,13,28,48,12,28,9,1.1,0,36.4,0.0,0,0.34,0
FR,27/04/2024,Paris,Le Havre,H,2.6,1.0,3,3, 3-3,N,,,,,O,3.7,0.4,,O,31,16,8,26,75,11,28,6,2.1,0,66.7,0.06,0,0.04,0
FR,24/04/2024,Paris,Lorient,A,1.6,0.9,4,1, 4-1,V,,,,O,,2.8,1.7,O,,27,32,10,19,54,8,23,8,1.4,0,57.1,0.0,0,0.3,0
FR,21/04/2024,Paris,Lyon,H,2.3,1.0,4,1, 4-1,V,,O,O,,O,4.9,2.1,O,,24,22,10,22,45,12,24,10,1.0,0,38.5,0.0,0,0.03,0
C1,16/04/2024,Paris,Barcelona,A,2.3,1.1,4,1, 4-1,V,Rouge 2,,,,O,2.0,1.7,,O,40,20,18,34,57,8,44,16,1.2,1,36.8,0.0,0,0.0,0
C1,10/04/2024,Paris,Barcelona,H,1.2,1.9,2,3, 2-3,D,,,,O,O,2.4,2.9,,N,34,20,11,31,54,15,36,17,2.4,2,55.0,0.0,0,0.85,1
