Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,RB Leipzig,Eintracht Frankfurt,A,1.6,2.1,2,2, 2-2,N,,,,O,O,1.2,2.7,N,,15,21,9,16,28,1,16,3,2.3,0,40.7,0.0,0,0.07,0
AL,11/05/2024,RB Leipzig,Werder Bremen,H,1.4,1.1,1,1, 1-1,N,,O,,O,O,2.7,2.1,N,,23,23,14,20,44,10,14,2,0.8,1,72.0,0.0,0,0.22,0
AL,3/05/2024,RB Leipzig,Hoffenheim,A,0.8,1.6,1,1, 1-1,N,Rouge 1,,,,,1.5,2.9,N,,15,17,7,18,33,10,23,4,2.0,0,52.4,0.02,0,0.01,0
AL,27/04/2024,RB Leipzig,Dortmund,H,2.6,1.6,4,1, 4-1,V,,,,,,3.3,4.1,,O,36,25,16,25,38,11,20,5,1.8,1,53.3,0.09,0,0.75,0
AL,20/04/2024,RB Leipzig,Heidenheim,A,1.8,1.0,2,1, 2-1,V,,,,,,3.4,1.9,O,,23,20,14,27,36,7,28,11,1.7,1,41.7,0.05,0,0.0,0
AL,13/04/2024,RB Leipzig,Wolfsburg,H,1.3,0.4,3,0, 3-0,V,,,,O,,1.7,1.2,O,,26,28,9,19,50,10,12,5,0.2,0,54.5,0.29,0,0.0,0
AL,6/04/2024,RB Leipzig,Freiburg,A,2.3,1.6,4,1, 4-1,V,,,,,,3.9,1.4,O,,24,25,6,11,30,6,25,11,0.5,0,33.3,0.0,0,0.15,0
AL,30/03/2024,RB Leipzig,Mainz 05,H,2.5,0.9,0,0, 0-0,N,,,,,,6.2,1.8,,,36,20,9,21,72,16,22,4,0.1,0,58.1,0.19,0,0.14,0
AL,15/03/2024,RB Leipzig,Köln,A,3.3,1.2,5,1, 5-1,V,,,,,,5.1,1.5,O,,38,20,12,21,62,12,24,4,0.7,0,65.2,0.21,0,0.18,0
AL,9/03/2024,RB Leipzig,Darmstadt,H,3.2,0.5,2,0, 2-0,V,,,,,,5.3,0.9,O,,54,16,15,22,74,19,36,9,0.7,0,53.3,0.09,0,0.02,0
C1,6/03/2024,RB Leipzig,Real Madrid,A,1.0,0.8,1,1, 1-1,N,,,,,,1.8,1.6,,O,36,23,8,14,36,11,17,4,1.1,0,61.1,0.18,0,0.0,0
AL,2/03/2024,RB Leipzig,Bochum,A,2.1,0.8,4,1, 4-1,V,,,,,,3.5,2.0,,O,23,21,14,24,28,5,22,5,0.7,1,50.9,0.12,0,0.01,0
AL,24/02/2024,RB Leipzig,Bayern Munich,A,0.9,1.5,1,2, 1-2,D,,,,,,1.4,2.9,,N,18,41,4,10,34,6,17,7,1.7,0,54.5,0.09,0,0.0,0
AL,17/02/2024,RB Leipzig,Mönchengladbach,H,1.7,0.7,2,0, 2-0,V,,,,,,3.4,1.7,O,,29,35,8,21,37,14,18,3,0.0,0,54.2,0.21,0,0.03,0
C1,13/02/2024,RB Leipzig,Real Madrid,H,1.4,1.4,0,1, 0-1,D,,,,,,2.5,2.5,,N,25,36,6,12,39,15,15,2,0.6,1,23.1,0.11,0,0.06,0
AL,10/02/2024,RB Leipzig,Augsburg,A,1.3,0.7,2,2, 2-2,N,,,,,,1.5,1.5,,O,17,19,7,15,35,7,24,4,0.9,0,55.8,0.07,0,0.14,0
AL,4/02/2024,RB Leipzig,Union Berlin,H,1.1,0.5,2,0, 2-0,V,Rouge 2,,,,,1.7,1.0,O,,30,22,6,13,58,12,29,10,0.2,0,61.5,0.53,1,0.0,0
AL,27/01/2024,RB Leipzig,Stuttgart,A,0.4,2.2,2,5, 2-5,D,,O,,,,0.6,2.2,,N,6,29,6,16,28,2,12,4,2.9,1,30.0,0.29,1,0.19,0
AL,20/01/2024,RB Leipzig,Bayer Leverkusen,H,1.6,2.0,2,3, 2-3,D,,,,,,2.9,4.5,N,,17,25,11,18,24,9,14,2,2.2,0,43.8,0.17,0,0.62,2
AL,13/01/2024,RB Leipzig,Eintracht Frankfurt,H,3.5,1.1,0,1, 0-1,D,,,,,,7.2,1.6,,N,54,25,14,25,59,15,17,5,0.8,0,56.5,0.79,0,0.04,0
AL,19/12/2023,RB Leipzig,Werder Bremen,A,1.7,1.5,1,1, 1-1,N,,,,,O,2.4,2.4,N,,27,25,6,14,36,11,15,2,0.3,1,61.9,0.0,0,0.0,0
AL,16/12/2023,RB Leipzig,Hoffenheim,H,2.8,0.8,3,1, 3-1,V,,,,,O,4.0,1.6,O,,38,16,9,19,68,13,21,7,0.2,1,62.5,0.08,0,0.22,0
C1,13/12/2023,RB Leipzig,Young Boys,H,0.7,1.5,2,1, 2-1,V,,O,O,O,O,1.1,2.4,O,,18,37,9,19,27,6,20,6,1.0,3,42.9,0.0,0,0.38,0
AL,9/12/2023,RB Leipzig,Dortmund,A,2.8,1.5,3,2, 3-2,V,Rouge 2,,,,O,4.3,3.1,,O,45,21,6,11,60,16,17,10,0.9,1,51.4,0.0,0,0.84,1
AL,2/12/2023,RB Leipzig,Heidenheim,H,4.0,1.0,2,1, 2-1,V,,,,,O,5.1,1.7,O,,42,24,16,31,70,18,34,12,0.9,0,38.5,0.03,0,0.0,0
C1,28/11/2023,RB Leipzig,Manchester City,A,0.5,1.8,2,3, 2-3,D,,,,,O,0.6,3.5,N,,9,28,5,10,12,0,10,4,2.4,0,27.3,0.0,0,0.42,0
AL,25/11/2023,RB Leipzig,Wolfsburg,A,2.7,0.9,1,2, 1-2,D,,,,,O,5.2,1.9,,N,45,18,10,24,72,15,30,5,0.8,2,29.2,0.18,0,0.0,0
AL,12/11/2023,RB Leipzig,Freiburg,H,1.9,0.5,3,1, 3-1,V,,,,,O,2.3,1.0,O,,25,16,8,14,42,6,21,5,0.6,0,42.9,0.07,0,0.03,0
C1,7/11/2023,RB Leipzig,Red Star Belgrade,A,2.3,1.5,2,1, 2-1,V,,,,,O,3.2,1.4,O,,46,29,11,19,28,9,18,7,1.0,0,54.8,0.06,0,0.0,0
AL,4/11/2023,RB Leipzig,Mainz 05,A,0.5,0.9,0,2, 0-2,D,,,,,O,1.0,0.9,,N,19,17,12,19,52,13,34,4,1.2,0,57.1,0.01,0,0.04,0
AL,28/10/2023,RB Leipzig,Köln,H,4.2,0.9,6,0, 6-0,V,,,,,O,4.2,1.1,O,,43,9,9,21,50,15,15,5,1.0,0,31.3,0.11,0,0.11,0
C1,25/10/2023,RB Leipzig,Red Star Belgrade,H,3.1,1.0,3,1, 3-1,V,,,,,O,3.6,1.1,O,,49,20,8,16,47,16,33,7,1.5,1,54.2,0.35,0,0.01,0
