Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,25/05/2024,Rayo Vallecano,Athletic Club,H,1.1,0.9,0,1, 0-1,D,,,,,O,1.9,1.8,,N,31,21,9,11,49,9,23,6,0.9,0,66.7,0.01,0,0.0,0
ES,19/05/2024,Rayo Vallecano,Barcelona,A,1.3,1.3,0,3, 0-3,D,,,,,,2.3,2.0,,N,22,26,9,13,18,4,8,5,2.2,0,47.6,0.1,0,0.01,0
ES,15/05/2024,Rayo Vallecano,Granada,H,2.5,1.2,2,1, 2-1,V,Rouge 1,,,,,1.9,2.3,O,,25,28,8,19,16,3,12,5,0.8,1,40.6,0.12,0,0.19,0
ES,12/05/2024,Rayo Vallecano,Valencia,A,0.6,1.3,0,0, 0-0,N,,,,,,1.2,2.2,,,20,22,7,19,27,9,13,0,0.6,0,53.8,0.11,0,0.08,0
ES,5/05/2024,Rayo Vallecano,Almeria,H,1.4,0.4,0,1, 0-1,D,,,,,,2.6,0.6,,N,50,25,10,19,79,13,30,5,0.5,1,55.6,0.31,0,0.02,0
ES,28/04/2024,Rayo Vallecano,Villarreal,A,1.0,1.4,0,3, 0-3,D,,,,,O,0.8,2.0,,N,34,23,4,16,34,7,17,2,2.6,0,37.5,0.08,0,0.07,1
ES,20/04/2024,Rayo Vallecano,Osasuna,H,0.5,0.5,2,1, 2-1,V,,,,O,,1.1,1.0,,O,31,34,8,14,42,11,22,6,1.1,0,63.2,0.04,1,0.01,0
ES,13/04/2024,Rayo Vallecano,Getafe,H,1.0,0.3,0,0, 0-0,N,,,,O,,1.5,0.3,,,20,18,7,20,42,9,15,3,0.0,0,60.0,0.08,0,0.01,0
ES,31/03/2024,Rayo Vallecano,Celta Vigo,A,0.6,0.8,0,0, 0-0,N,,O,,O,,0.5,2.2,,,13,28,10,21,29,6,17,5,0.0,0,46.7,0.0,0,0.07,0
ES,17/03/2024,Rayo Vallecano,Real Betis,H,0.7,0.8,2,0, 2-0,V,,,,,,0.3,1.3,O,,9,45,4,18,24,2,9,2,0.1,1,31.8,0.06,0,0.12,0
ES,10/03/2024,Rayo Vallecano,Alaves,A,0.6,0.6,0,1, 0-1,D,,,,O,O,1.2,1.0,,N,17,19,16,26,49,7,12,0,1.2,0,57.7,0.0,0,0.03,0
ES,2/03/2024,Rayo Vallecano,Cadiz,H,0.7,1.0,1,1, 1-1,N,,,,,,0.7,1.6,N,,15,22,8,13,43,6,8,1,1.4,0,43.2,0.08,0,0.06,0
ES,26/02/2024,Rayo Vallecano,Girona,A,0.5,2.2,0,3, 0-3,D,Rouge 1,,O,,,1.2,3.6,,N,12,24,4,12,33,3,4,0,3.0,0,37.5,0.0,0,0.13,0
ES,18/02/2024,Rayo Vallecano,Real Madrid,H,1.1,1.1,1,1, 1-1,N,,,,,,0.6,2.0,,O,12,28,5,10,21,9,6,1,1.5,0,50.0,0.0,0,0.13,0
ES,11/02/2024,Rayo Vallecano,Mallorca,A,1.6,0.9,1,2, 1-2,D,,,,,,1.3,0.9,,N,18,24,8,15,31,5,11,2,1.6,1,43.6,0.01,0,0.23,1
ES,5/02/2024,Rayo Vallecano,Sevilla,H,1.8,1.3,1,2, 1-2,D,,,,,,2.7,1.4,,N,35,21,6,12,65,7,25,8,2.1,0,32.3,0.23,0,0.0,0
