Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,25/05/2024,Real Betis,Real Madrid,A,0.7,1.0,0,0, 0-0,N,,O,,O,O,1.3,1.9,,,18,22,9,16,33,13,19,4,0.9,2,0.0,0.1,0,0.17,0
ES,19/05/2024,Real Betis,Real Sociedad,H,1.7,0.4,0,2, 0-2,D,,O,,O,O,1.9,0.9,,N,32,21,7,21,54,13,15,3,0.9,0,51.5,0.04,0,0.07,0
ES,16/05/2024,Real Betis,Las Palmas,A,1.3,2.3,2,2, 2-2,N,,,,O,O,1.7,3.4,,O,11,42,11,21,24,5,12,6,2.9,1,45.8,0.0,0,0.04,0
ES,12/05/2024,Real Betis,Almeria,H,0.8,1.2,3,2, 3-2,V,,,,O,,1.0,1.0,O,,25,40,10,13,38,8,19,3,1.4,0,45.5,0.0,0,0.04,0
ES,5/05/2024,Real Betis,Osasuna,A,1.1,0.8,2,0, 2-0,V,Rouge 2,O,,,,2.1,1.6,O,,19,25,4,9,44,9,22,8,0.1,0,47.1,0.04,0,0.31,0
ES,28/04/2024,Real Betis,Sevilla,H,1.8,1.4,1,1, 1-1,N,,,,,,1.7,0.6,,O,27,22,9,21,25,5,20,5,0.2,0,51.4,0.39,0,0.22,1
ES,20/04/2024,Real Betis,Valencia,A,1.3,1.1,2,1, 2-1,V,,,,,,1.0,0.9,O,,23,27,6,14,31,6,7,4,1.5,0,50.0,0.3,0,0.06,0
ES,12/04/2024,Real Betis,Celta Vigo,H,1.2,1.6,2,1, 2-1,V,,,,,,1.9,2.7,O,,27,34,18,26,59,10,18,5,1.9,1,60.9,0.05,0,0.0,0
ES,31/03/2024,Real Betis,Girona,A,0.5,2.6,2,3, 2-3,D,,,,,,1.1,1.9,N,,12,32,10,18,30,9,12,5,2.9,0,47.4,0.01,0,0.0,0
ES,17/03/2024,Real Betis,Rayo Vallecano,A,0.8,0.7,0,2, 0-2,D,,,,,,1.3,0.3,,N,21,29,14,28,43,11,16,6,0.8,1,68.2,0.12,0,0.06,0
ES,10/03/2024,Real Betis,Villarreal,H,1.0,1.4,2,3, 2-3,D,Rouge 2,O,,O,,1.3,2.9,N,,23,29,5,10,45,8,17,1,1.9,0,52.0,0.03,0,0.2,0
ES,3/03/2024,Real Betis,Atletico Madrid,A,0.6,3.0,1,2, 1-2,D,,O,O,,,1.1,2.4,,N,19,24,7,20,42,10,18,5,2.6,2,38.5,0.08,0,0.19,0
ES,25/02/2024,Real Betis,Athletic Club,H,1.2,0.2,3,1, 3-1,V,Rouge 2,O,O,,O,1.8,0.4,O,,21,28,15,21,28,4,19,5,0.2,0,64.3,0.0,0,0.08,1
ES,18/02/2024,Real Betis,Alaves,H,0.8,0.5,0,0, 0-0,N,,O,O,,O,2.2,0.5,,,24,29,8,20,56,12,24,6,1.4,0,53.7,0.0,0,0.08,0
ES,9/02/2024,Real Betis,Cadiz,A,1.0,0.8,2,0, 2-0,V,,O,O,,O,1.7,1.9,O,,21,30,13,22,29,7,17,4,0.9,0,54.5,0.31,0,0.16,0
ES,4/02/2024,Real Betis,Getafe,H,1.6,1.5,1,1, 1-1,N,,,O,,O,1.4,1.0,,,13,37,12,23,33,7,11,2,1.7,0,45.5,0.06,0,0.06,0
ES,27/01/2024,Real Betis,Mallorca,A,0.4,1.5,1,0, 1-0,V,,,O,,O,1.0,2.6,O,,15,18,7,13,31,8,17,4,0.0,0,45.7,0.09,0,0.39,0
ES,21/01/2024,Real Betis,Barcelona,H,1.1,3.0,2,4, 2-4,D,,,O,,O,1.6,4.0,,N,23,23,11,24,31,10,15,3,2.0,0,44.0,0.11,0,0.02,0
ES,13/01/2024,Real Betis,Granada,H,1.8,0.5,1,0, 1-0,V,,,O,,O,3.2,0.6,O,,47,26,19,31,41,11,27,12,0.2,1,56.0,0.04,0,0.17,0
ES,3/01/2024,Real Betis,Celta Vigo,A,1.4,2.7,1,2, 1-2,D,,,,,O,2.0,1.8,,N,23,23,16,29,45,11,12,4,2.3,0,53.6,0.32,0,0.09,0
ES,21/12/2023,Real Betis,Girona,H,1.5,1.7,1,1, 1-1,N,,O,,,O,2.0,1.7,N,,39,38,8,19,44,8,22,6,1.9,0,52.9,0.02,0,0.05,0
ES,17/12/2023,Real Betis,Real Sociedad,A,1.1,1.1,0,0, 0-0,N,,,,,O,1.1,1.5,,,22,32,12,27,26,5,13,3,0.5,0,48.4,0.18,0,0.02,0
C3,14/12/2023,Real Betis,Rangers,H,1.6,1.4,2,3, 2-3,D,,,,,O,2.6,1.4,,N,32,25,10,22,58,12,18,5,2.0,0,44.0,0.09,0,0.03,0
ES,9/12/2023,Real Betis,Real Madrid,H,1.3,1.0,1,1, 1-1,N,,,,,O,2.1,1.8,,O,26,33,5,12,34,8,20,4,0.8,0,54.5,0.08,0,0.02,0
ES,3/12/2023,Real Betis,Almeria,A,0.5,2.4,0,0, 0-0,N,Rouge 1,,,,,0.9,4.3,,,12,18,5,15,16,1,10,3,2.4,0,36.4,0.02,0,0.5,0
C3,30/11/2023,Real Betis,Sparta Prague,A,0.8,0.6,0,1, 0-1,D,,,,,,1.5,1.5,,N,18,25,14,26,35,9,18,4,0.4,0,41.2,0.0,0,0.09,0
ES,26/11/2023,Real Betis,Las Palmas,H,1.4,0.6,1,0, 1-0,V,,,,,,1.4,1.3,O,,18,29,12,24,31,4,17,7,1.4,0,50.0,0.11,0,0.0,0
ES,12/11/2023,Real Betis,Sevilla,A,1.8,0.7,1,1, 1-1,N,,,,,,2.3,1.1,N,,23,22,11,27,31,6,18,5,1.3,0,48.6,0.09,0,0.08,0
C3,9/11/2023,Real Betis,Aris Limassol FC,H,2.2,0.9,4,1, 4-1,V,,,,,,2.1,1.5,O,,25,32,21,37,38,7,28,15,1.2,0,30.8,0.0,0,0.05,0
ES,4/11/2023,Real Betis,Mallorca,H,2.2,0.6,2,0, 2-0,V,Rouge 2,,,,,3.8,1.3,O,,40,19,11,26,40,10,37,11,0.0,0,42.4,0.06,0,0.02,0
ES,29/10/2023,Real Betis,Osasuna,H,1.2,0.4,2,1, 2-1,V,,,,,,2.3,0.9,O,,14,16,15,26,34,4,20,2,0.3,0,57.6,0.03,0,0.09,0
C3,26/10/2023,Real Betis,Aris Limassol FC,A,2.1,0.5,1,0, 1-0,V,,O,,,,2.6,0.4,O,,30,21,9,27,53,8,17,14,0.0,0,57.9,0.22,0,0.02,0
ES,21/10/2023,Real Betis,Getafe,A,1.1,1.5,1,1, 1-1,N,,,O,,O,1.8,1.8,N,,21,28,12,25,62,14,19,9,1.3,0,58.1,0.1,0,0.04,0
ES,8/10/2023,Real Betis,Alaves,A,0.9,1.3,1,1, 1-1,N,,,,,,1.2,1.8,N,,11,18,13,27,35,7,17,5,1.5,0,33.3,0.01,0,0.36,0
C3,5/10/2023,Real Betis,Sparta Prague,H,1.5,1.3,2,1, 2-1,V,,,,,,1.0,2.3,,O,23,17,6,10,36,8,14,5,0.9,1,44.4,0.0,0,0.0,0
ES,1/10/2023,Real Betis,Valencia,H,1.6,0.7,3,0, 3-0,V,,,,,,3.2,1.0,O,,24,17,11,24,47,9,15,6,0.4,1,54.2,0.31,1,0.23,0
ES,28/09/2023,Real Betis,Granada,A,0.9,1.8,1,1, 1-1,N,,,,,,1.6,3.3,N,,24,24,8,17,42,14,19,2,1.2,0,54.5,0.46,0,0.21,0
ES,24/09/2023,Real Betis,Cadiz,H,1.8,0.2,1,1, 1-1,N,,,,,,3.0,0.3,,O,40,29,13,31,60,17,32,6,0.7,0,63.3,0.19,0,0.03,0
C3,21/09/2023,Real Betis,Rangers,A,0.8,2.0,0,1, 0-1,D,,,O,,,1.6,3.2,,N,19,29,15,29,38,9,19,3,1.6,0,52.0,0.22,0,0.03,0
ES,16/09/2023,Real Betis,Barcelona,A,0.8,2.4,0,5, 0-5,D,,,,O,,1.4,3.7,,N,21,27,10,20,32,8,18,5,1.0,0,22.2,0.1,0,0.02,0
ES,2/09/2023,Real Betis,Rayo Vallecano,H,1.0,1.5,1,0, 1-0,V,,,,,,2.0,1.6,O,,26,37,4,14,48,12,21,4,0.7,0,37.5,0.03,0,0.06,0
ES,27/08/2023,Real Betis,Athletic Club,A,0.4,2.9,2,4, 2-4,D,,,,,,0.9,1.8,N,,18,27,8,18,35,4,7,4,3.1,0,46.2,0.02,0,0.02,0
ES,20/08/2023,Real Betis,Atletico Madrid,H,0.7,0.5,0,0, 0-0,N,,,,,,1.4,1.5,,,27,21,9,20,32,10,20,5,0.1,0,36.8,0.03,0,0.04,0
ES,13/08/2023,Real Betis,Villarreal,A,1.1,0.9,2,1, 2-1,V,,,,,,2.4,1.9,O,,20,41,8,21,30,9,14,4,0.4,0,21.4,0.03,0,0.13,1
