Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
C1,1/06/2024,Real Madrid,Dortmund,A,1.1,2.1,2,0, 2-0,V,,,,,,1.7,2.6,O,,23,18,10,21,48,4,15,6,0.8,0,57.7,0.3,1,0.08,0
ES,25/05/2024,Real Madrid,Real Betis,H,1.0,0.7,0,0, 0-0,N,,,,,,1.9,1.3,,,20,18,8,21,60,7,19,9,0.0,0,100.0,0.17,0,0.1,0
ES,19/05/2024,Real Madrid,Villarreal,A,1.0,1.7,4,4, 4-4,N,,O,O,,,2.3,2.4,N,,22,34,10,23,40,9,19,5,3.1,1,28.6,0.02,0,0.09,0
ES,14/05/2024,Real Madrid,Alaves,H,2.5,1.3,5,0, 5-0,V,,,,,,4.9,1.9,O,,43,18,10,20,60,17,39,16,1.4,0,54.5,0.0,0,0.06,0
ES,11/05/2024,Real Madrid,Granada,A,1.5,1.0,4,0, 4-0,V,,O,O,O,O,1.8,2.0,O,,22,22,12,20,45,8,21,8,0.2,0,60.0,0.25,0,0.18,0
C1,8/05/2024,Real Madrid,Bayern Munich,H,2.8,0.4,2,1, 2-1,V,,,,,,3.7,0.5,,O,35,25,11,22,40,6,27,10,1.6,0,50.0,0.03,0,0.06,0
ES,4/05/2024,Real Madrid,Cadiz,H,2.3,0.9,3,0, 3-0,V,,,O,O,O,4.7,1.2,O,,37,20,16,33,64,10,33,10,0.5,1,37.5,0.0,0,0.28,0
C1,30/04/2024,Real Madrid,Bayern Munich,A,1.9,1.6,2,2, 2-2,N,,,,,,1.6,1.6,N,,19,17,5,12,34,4,20,6,1.7,0,77.8,0.03,0,0.09,0
ES,26/04/2024,Real Madrid,Real Sociedad,A,0.4,0.6,1,0, 1-0,V,,O,,,O,0.8,1.3,O,,10,20,5,15,12,4,9,0,0.8,0,61.5,0.02,0,0.0,0
ES,21/04/2024,Real Madrid,Barcelona,H,2.3,1.4,3,2, 3-2,V,,,,,,2.8,1.1,,O,26,24,9,17,42,8,25,10,1.8,1,40.0,0.38,0,0.41,1
C1,17/04/2024,Real Madrid,Manchester City,A,1.4,2.7,1,1, 1-1,N,,,,,,1.7,4.4,N,,11,39,7,20,18,3,11,4,1.8,0,48.6,0.0,0,0.12,0
ES,13/04/2024,Real Madrid,Mallorca,A,1.5,0.6,1,0, 1-0,V,,,,,O,2.1,1.1,O,,29,14,15,27,39,9,14,5,0.5,0,65.4,0.07,0,0.1,0
C1,9/04/2024,Real Madrid,Manchester City,H,0.7,0.8,3,3, 3-3,N,,,,,,0.8,1.6,,O,26,28,8,21,22,4,25,6,1.5,0,46.7,0.02,0,0.08,0
ES,31/03/2024,Real Madrid,Athletic Club,H,1.1,0.3,2,0, 2-0,V,,,O,,,1.5,1.0,O,,15,20,8,20,39,6,18,4,0.1,0,80.0,0.05,0,0.08,0
ES,16/03/2024,Real Madrid,Osasuna,A,2.9,0.7,4,2, 4-2,V,,O,,,,3.0,0.6,O,,26,21,11,28,40,8,15,9,1.0,1,54.2,0.11,0,0.0,0
ES,10/03/2024,Real Madrid,Celta Vigo,H,3.4,0.8,4,0, 4-0,V,,O,,,,4.9,1.2,O,,45,33,14,29,53,12,37,13,0.1,0,75.0,0.66,0,0.11,0
C1,6/03/2024,Real Madrid,RB Leipzig,H,0.8,1.0,1,1, 1-1,N,,,,,,1.6,1.8,N,,21,18,12,20,31,6,12,5,0.2,0,38.9,0.0,0,0.18,0
ES,2/03/2024,Real Madrid,Valencia,A,2.2,1.1,2,2, 2-2,N,,,,,,3.2,0.8,,O,17,19,5,23,58,7,19,4,1.7,2,61.5,0.0,0,0.01,0
ES,25/02/2024,Real Madrid,Sevilla,H,1.0,0.8,1,0, 1-0,V,,O,,,,1.9,0.8,O,,32,18,13,29,75,12,34,11,0.7,0,50.0,0.08,0,0.16,0
ES,18/02/2024,Real Madrid,Rayo Vallecano,A,1.1,1.1,1,1, 1-1,N,,O,,,,2.0,0.6,N,,22,29,12,25,40,10,23,7,1.2,1,50.0,0.13,0,0.0,0
C1,13/02/2024,Real Madrid,RB Leipzig,A,1.4,1.4,1,0, 1-0,V,,O,,,,2.5,2.5,O,,28,30,20,37,52,10,18,5,2.3,1,76.9,0.06,0,0.11,0
ES,10/02/2024,Real Madrid,Girona,H,3.2,0.3,4,0, 4-0,V,,,,,,2.2,0.6,O,,26,12,9,16,42,13,22,8,0.0,1,57.1,0.0,0,0.0,0
ES,4/02/2024,Real Madrid,Atletico Madrid,H,1.9,1.1,1,1, 1-1,N,,,O,,,2.2,3.0,N,,31,22,16,32,51,12,20,6,1.6,1,50.0,0.05,0,0.24,0
ES,1/02/2024,Real Madrid,Getafe,A,2.0,0.8,2,0, 2-0,V,,,,,O,3.4,1.2,O,,31,29,8,19,33,8,27,11,1.0,1,52.0,0.1,0,0.0,0
ES,27/01/2024,Real Madrid,Las Palmas,A,2.3,0.7,2,1, 2-1,V,,O,,,,3.9,1.4,,O,25,26,6,18,48,11,19,5,1.4,0,55.6,0.59,1,0.08,0
ES,21/01/2024,Real Madrid,Almeria,H,2.2,0.9,3,2, 3-2,V,,,,,,3.6,1.5,,O,32,18,10,24,89,17,37,12,1.1,0,70.3,0.06,0,0.0,0
ES,3/01/2024,Real Madrid,Mallorca,H,1.7,0.6,1,0, 1-0,V,,,,,,2.1,1.3,O,,31,22,9,23,59,13,38,6,0.0,0,38.1,0.08,1,0.07,0
ES,21/12/2023,Real Madrid,Alaves,A,0.6,0.6,1,0, 1-0,V,Rouge 1,,O,,,1.1,1.0,O,,18,16,9,24,43,4,23,9,0.1,0,46.7,0.21,1,0.07,0
ES,17/12/2023,Real Madrid,Villarreal,H,2.3,0.8,4,1, 4-1,V,,,O,,,3.6,1.2,O,,40,21,6,13,73,19,29,14,0.8,0,50.0,0.06,0,0.0,0
C1,12/12/2023,Real Madrid,Union Berlin,A,2.9,1.1,3,2, 3-2,V,,,O,,,4.3,1.5,,O,41,13,12,22,54,12,31,10,1.5,2,45.5,0.1,0,0.0,0
ES,9/12/2023,Real Madrid,Real Betis,A,1.0,1.3,1,1, 1-1,N,,,O,,,1.8,2.1,N,,21,23,16,34,61,8,26,8,1.6,0,45.5,0.02,0,0.08,0
ES,2/12/2023,Real Madrid,Granada,H,1.8,0.1,2,0, 2-0,V,,,O,,,2.8,0.1,O,,20,18,8,14,74,13,18,2,0.0,0,62.5,0.0,0,0.0,0
C1,29/11/2023,Real Madrid,Napoli,H,2.8,1.4,4,2, 4-2,V,,,O,,,4.7,3.4,,O,37,23,9,16,45,12,27,9,1.2,0,75.0,0.14,0,0.0,0
ES,26/11/2023,Real Madrid,Cadiz,A,1.6,1.2,3,0, 3-0,V,,,O,,,1.9,2.0,O,,25,22,15,30,45,9,29,8,1.2,0,61.5,0.01,0,0.07,0
ES,11/11/2023,Real Madrid,Valencia,H,1.7,1.7,5,1, 5-1,V,,O,,,,1.6,3.3,O,,28,28,17,38,39,7,30,7,1.3,0,33.3,0.03,0,0.0,0
C1,8/11/2023,Real Madrid,Braga,H,3.2,1.4,3,0, 3-0,V,,O,,,,5.3,1.8,O,,32,25,17,29,59,16,28,11,1.7,0,58.3,0.13,0,0.0,0
ES,5/11/2023,Real Madrid,Rayo Vallecano,H,2.2,0.1,0,0, 0-0,N,,,,,,3.9,0.2,,,40,28,22,34,62,12,38,13,0.0,0,65.0,0.12,0,0.0,0
ES,28/10/2023,Real Madrid,Barcelona,A,1.1,1.5,2,1, 2-1,V,,,,,,1.8,1.3,,O,26,26,6,20,35,8,10,5,0.7,0,68.4,0.0,0,0.24,0
C1,24/10/2023,Real Madrid,Braga,A,0.9,1.5,2,1, 2-1,V,,,,,,1.2,2.9,O,,23,18,7,19,42,7,27,13,1.0,0,50.0,0.2,0,0.5,0
ES,21/10/2023,Real Madrid,Sevilla,A,1.6,1.5,1,1, 1-1,N,,,,,,2.7,2.6,N,,28,15,3,15,30,5,16,7,1.1,1,42.1,0.56,1,0.34,0
ES,7/10/2023,Real Madrid,Osasuna,H,3.2,0.5,4,0, 4-0,V,,,,,O,4.0,0.8,O,,32,23,8,18,57,15,21,11,0.3,1,50.0,0.0,0,0.0,0
C1,3/10/2023,Real Madrid,Napoli,A,1.4,1.9,3,2, 3-2,V,,,,,,1.4,1.8,,O,34,29,11,22,33,5,22,10,1.8,0,64.5,0.13,0,0.18,0
ES,30/09/2023,Real Madrid,Girona,A,2.3,1.6,3,0, 3-0,V,,,,,,2.6,2.5,O,,23,36,13,25,29,2,30,12,0.7,0,50.0,0.24,1,0.1,0
ES,27/09/2023,Real Madrid,Las Palmas,H,1.7,0.7,2,0, 2-0,V,,O,,,,3.6,1.8,O,,39,19,10,25,48,8,31,14,0.2,0,62.5,0.02,0,0.0,0
ES,24/09/2023,Real Madrid,Atletico Madrid,A,1.0,1.4,1,3, 1-3,D,,,O,,,3.0,2.4,,N,35,20,11,28,73,16,22,4,2.4,0,83.3,0.17,0,0.04,0
C1,20/09/2023,Real Madrid,Union Berlin,H,3.7,0.2,1,0, 1-0,V,,,O,,,5.8,0.6,O,,62,11,6,14,82,21,35,9,0.0,0,66.7,0.41,0,0.0,0
ES,17/09/2023,Real Madrid,Real Sociedad,H,2.0,1.6,2,1, 2-1,V,,,O,,,3.6,2.2,,O,31,27,8,24,46,11,27,8,1.8,0,66.7,0.0,0,0.07,0
ES,2/09/2023,Real Madrid,Getafe,H,2.8,0.4,2,1, 2-1,V,,,O,O,,3.6,0.5,,O,45,17,8,17,85,23,31,9,0.5,1,37.1,0.04,0,0.04,0
ES,25/08/2023,Real Madrid,Celta Vigo,A,1.4,1.2,1,0, 1-0,V,,,O,,,1.7,2.3,O,,17,16,15,25,42,4,28,8,0.3,0,42.1,0.0,0,0.0,0
ES,19/08/2023,Real Madrid,Almeria,A,2.0,1.3,3,1, 3-1,V,,,,,,3.3,2.3,,O,46,24,12,24,55,15,32,13,2.1,0,44.4,0.02,0,0.01,0
ES,12/08/2023,Real Madrid,Athletic Club,A,0.9,0.4,2,0, 2-0,V,,,,,,1.6,0.8,O,,26,35,8,19,49,11,21,4,0.0,1,64.3,0.21,1,0.22,0
