Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,25/05/2024,Real Sociedad,Atletico Madrid,H,0.6,2.2,0,2, 0-2,D,,O,,,O,1.4,4.0,,N,25,18,8,16,52,8,11,6,1.7,0,46.2,0.09,0,0.0,0
ES,19/05/2024,Real Sociedad,Real Betis,A,0.4,1.7,2,0, 2-0,V,,,O,,O,0.9,1.9,O,,8,39,5,15,16,5,13,1,1.8,0,48.5,0.07,0,0.04,0
ES,16/05/2024,Real Sociedad,Valencia,H,1.3,0.8,1,0, 1-0,V,,,,,O,2.0,0.5,O,,20,24,5,11,41,11,23,5,1.0,0,69.0,0.07,0,0.06,0
ES,13/05/2024,Real Sociedad,Barcelona,A,0.7,2.1,0,2, 0-2,D,,,,,O,0.4,1.5,,N,16,22,5,8,24,3,11,4,2.4,0,39.1,0.0,0,0.0,0
ES,4/05/2024,Real Sociedad,Las Palmas,H,0.6,0.5,2,0, 2-0,V,,,O,,O,0.7,0.9,O,,13,17,3,11,28,2,11,3,0.1,0,61.1,0.05,0,0.0,0
ES,26/04/2024,Real Sociedad,Real Madrid,H,0.6,0.4,0,1, 0-1,D,,,,O,,1.3,0.8,,N,17,21,12,26,44,7,25,5,0.9,0,38.5,0.0,0,0.02,0
ES,21/04/2024,Real Sociedad,Getafe,A,1.2,0.5,1,1, 1-1,N,,,,O,O,1.1,0.7,N,,12,25,10,12,29,4,12,3,0.7,0,46.3,0.0,0,0.0,0
ES,14/04/2024,Real Sociedad,Almeria,H,1.5,1.6,2,2, 2-2,N,,,,O,,2.6,1.3,,O,28,21,6,15,43,14,14,5,1.8,1,42.9,0.04,0,0.04,0
ES,31/03/2024,Real Sociedad,Alaves,A,0.9,0.3,1,0, 1-0,V,,,,O,,1.5,0.6,O,,22,21,12,23,29,6,20,4,0.0,0,63.3,0.64,1,0.0,0
ES,15/03/2024,Real Sociedad,Cadiz,H,1.9,0.8,2,0, 2-0,V,,,,,,3.0,1.0,O,,24,20,9,23,43,3,20,5,0.2,0,70.6,0.16,0,0.0,0
ES,9/03/2024,Real Sociedad,Granada,A,2.1,1.7,3,2, 3-2,V,,,O,,,2.8,1.0,,O,20,21,6,12,41,13,13,6,2.2,2,65.3,0.05,0,0.13,0
C1,5/03/2024,Real Sociedad,Paris,H,0.9,1.4,1,2, 1-2,D,,,,,,1.0,2.3,,N,24,21,7,14,28,6,15,5,3.0,0,54.8,0.09,0,0.0,0
ES,2/03/2024,Real Sociedad,Sevilla,A,1.5,2.0,2,3, 2-3,D,,O,O,,,1.4,1.8,,N,19,35,13,24,43,6,14,2,1.6,1,45.2,0.11,0,0.13,0
ES,23/02/2024,Real Sociedad,Villarreal,H,1.5,1.0,1,3, 1-3,D,,,,,,1.6,2.0,,N,35,25,6,15,61,12,33,7,2.5,2,60.6,0.27,0,0.01,0
ES,18/02/2024,Real Sociedad,Mallorca,A,1.1,0.1,2,1, 2-1,V,Rouge 2,,,,,3.0,0.3,,O,34,17,12,17,65,17,33,9,0.4,1,45.0,0.15,0,0.07,1
C1,14/02/2024,Real Sociedad,Paris,A,0.7,1.2,0,2, 0-2,D,,,,,,1.0,1.2,,N,13,34,11,19,32,7,12,6,2.0,0,34.6,0.06,0,0.32,1
ES,10/02/2024,Real Sociedad,Osasuna,H,1.5,0.5,0,1, 0-1,D,,,,,,3.0,0.6,,N,36,13,17,30,83,16,26,5,0.2,0,52.0,0.21,0,0.14,1
ES,3/02/2024,Real Sociedad,Girona,A,0.6,0.7,0,0, 0-0,N,,,O,,,0.9,1.2,,,19,31,5,15,45,4,10,2,0.5,0,51.6,0.11,0,0.04,0
ES,27/01/2024,Real Sociedad,Rayo Vallecano,H,0.2,0.1,0,0, 0-0,N,,O,O,,,0.5,0.2,,,9,33,8,19,25,1,16,4,0.0,0,48.4,0.0,0,0.0,0
ES,20/01/2024,Real Sociedad,Celta Vigo,A,0.8,0.3,1,0, 1-0,V,,,O,,O,1.3,0.5,O,,10,33,9,16,19,2,13,1,0.1,0,47.2,0.0,0,0.0,0
ES,13/01/2024,Real Sociedad,Athletic Club,A,1.1,1.6,1,2, 1-2,D,,,O,,,1.8,1.0,,N,15,29,9,18,16,2,8,4,1.8,0,54.5,0.06,0,0.18,0
ES,2/01/2024,Real Sociedad,Alaves,H,1.2,1.0,1,1, 1-1,N,Rouge 1,,,,,2.5,0.3,N,,28,25,6,12,30,3,7,4,1.1,0,63.8,0.27,0,0.0,0
ES,21/12/2023,Real Sociedad,Cadiz,A,0.5,1.0,0,0, 0-0,N,,,,,,0.7,0.9,,,14,31,9,19,27,5,27,4,0.6,1,45.1,0.03,0,0.14,0
ES,17/12/2023,Real Sociedad,Real Betis,H,1.1,1.1,0,0, 0-0,N,,,,O,,1.5,1.1,,,21,25,11,26,40,7,13,3,0.3,0,51.6,0.02,0,0.18,0
C1,12/12/2023,Real Sociedad,Inter,A,0.7,0.7,0,0, 0-0,N,,,,O,,1.5,1.0,,,10,16,8,12,34,4,12,5,0.1,0,41.2,0.48,0,0.0,0
ES,9/12/2023,Real Sociedad,Villarreal,A,1.5,2.2,3,0, 3-0,V,,,,,,2.5,2.9,O,,25,28,4,12,38,9,17,9,1.3,0,28.1,0.25,1,0.08,0
ES,2/12/2023,Real Sociedad,Osasuna,A,1.7,0.7,1,1, 1-1,N,,,,,,2.0,0.7,,O,28,22,8,15,62,11,36,4,1.1,1,47.4,0.02,0,0.11,0
C1,29/11/2023,Real Sociedad,Red Bull Salzburg,H,1.3,0.6,0,0, 0-0,N,,O,O,,,1.5,0.6,,,41,28,11,26,64,10,25,9,0.3,1,63.3,0.08,0,0.0,0
ES,26/11/2023,Real Sociedad,Sevilla,H,0.7,0.6,2,1, 2-1,V,,,,,,1.4,1.3,O,,14,17,6,18,44,5,25,9,0.5,0,53.3,0.1,0,0.18,0
ES,11/11/2023,Real Sociedad,Almeria,A,2.4,0.4,3,1, 3-1,V,,,,O,,1.5,0.4,O,,30,21,10,25,24,3,19,6,0.5,1,56.1,0.15,0,0.0,0
C1,8/11/2023,Real Sociedad,Benfica,H,3.3,0.8,3,1, 3-1,V,,,,,,2.6,1.5,O,,29,31,13,36,44,8,20,8,1.3,0,53.7,0.71,0,0.23,0
ES,4/11/2023,Real Sociedad,Barcelona,H,0.9,1.2,0,1, 0-1,D,,,,,,1.4,2.0,,N,17,24,11,19,35,4,23,9,0.5,0,48.1,0.09,0,0.02,0
ES,29/10/2023,Real Sociedad,Rayo Vallecano,A,2.0,1.0,2,2, 2-2,N,,O,,,,1.7,1.3,,O,25,30,10,18,24,5,22,5,2.0,1,54.1,0.14,0,0.01,0
C1,24/10/2023,Real Sociedad,Benfica,A,0.9,0.5,1,0, 1-0,V,,,,,,2.2,0.6,O,,21,27,20,34,60,9,30,11,0.5,0,71.0,0.07,0,0.0,0
ES,21/10/2023,Real Sociedad,Mallorca,H,1.3,1.9,1,0, 1-0,V,,,,,,2.4,1.5,O,,27,18,4,22,31,11,14,4,1.1,0,54.5,0.09,0,0.04,0
ES,8/10/2023,Real Sociedad,Atletico Madrid,A,1.2,2.2,1,2, 1-2,D,,,,,,1.7,2.1,,N,23,23,8,16,48,4,22,1,1.7,0,34.4,0.01,0,0.08,0
C1,3/10/2023,Real Sociedad,Red Bull Salzburg,A,1.2,0.6,2,0, 2-0,V,,,,,,1.7,1.6,O,,26,28,10,22,41,4,15,5,0.1,0,54.2,0.0,0,0.0,0
ES,30/09/2023,Real Sociedad,Athletic Club,H,1.4,1.8,3,0, 3-0,V,,,,,,1.7,3.3,O,,15,21,11,18,32,7,14,5,1.1,1,52.4,0.0,0,0.52,0
ES,27/09/2023,Real Sociedad,Valencia,A,0.2,0.4,1,0, 1-0,V,Rouge 2,,O,,,0.3,0.6,O,,4,27,8,18,25,3,14,3,0.4,1,64.3,0.16,1,0.11,0
ES,24/09/2023,Real Sociedad,Getafe,H,2.0,1.4,4,3, 4-3,V,,,,,,2.1,1.3,O,,18,16,10,25,31,3,22,2,2.9,0,41.8,0.14,0,0.09,0
C1,20/09/2023,Real Sociedad,Inter,H,1.3,0.5,1,1, 1-1,N,,,,,,2.2,1.0,N,,23,22,5,14,32,7,12,5,0.6,0,54.8,0.25,0,0.11,0
ES,17/09/2023,Real Sociedad,Real Madrid,A,1.6,2.0,1,2, 1-2,D,,,,,,2.2,3.6,N,,26,27,7,21,37,7,15,5,2.2,1,33.3,0.07,0,0.0,0
ES,2/09/2023,Real Sociedad,Granada,H,2.3,0.8,5,3, 5-3,V,,,,,,3.0,1.0,O,,23,23,8,12,41,5,24,10,1.4,1,46.2,0.0,0,0.0,0
ES,25/08/2023,Real Sociedad,Las Palmas,A,1.0,0.9,0,0, 0-0,N,,,,,,1.8,1.9,,,12,18,13,24,32,4,14,5,0.8,0,48.7,0.24,0,0.08,0
ES,19/08/2023,Real Sociedad,Celta Vigo,H,0.7,1.0,1,1, 1-1,N,,O,,,,0.8,1.5,N,,20,18,8,14,32,5,18,3,1.2,0,58.8,0.24,0,0.02,0
ES,12/08/2023,Real Sociedad,Girona,H,1.0,0.8,1,1, 1-1,N,,O,,,,1.5,2.2,N,,23,24,9,21,34,9,13,3,0.4,0,51.4,0.15,0,0.0,0
