Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Reims,Rennes,H,1.3,1.5,2,1, 2-1,V,,,,O,,0.6,2.1,O,,9,38,8,17,18,0,11,1,0.9,0,30.8,0.0,0,0.39,0
FR,15/05/2024,Reims,Marseille,H,1.1,1.7,1,0, 1-0,V,,,,O,,1.8,3.3,,,16,37,13,18,30,2,24,14,0.5,1,50.0,0.0,0,0.59,0
FR,10/05/2024,Reims,Brest,A,0.6,1.3,1,1, 1-1,N,,,,O,,0.9,2.4,,O,13,28,12,18,30,6,15,5,1.3,0,44.7,0.07,0,0.33,1
FR,28/04/2024,Reims,Clermont Foot,A,0.9,2.9,1,4, 1-4,D,Rouge 1,,,O,,1.8,2.3,N,,18,30,10,19,41,9,16,4,3.5,0,44.4,0.05,0,0.0,0
FR,21/04/2024,Reims,Montpellier,H,1.5,1.6,1,2, 1-2,D,,,,O,,3.1,1.4,,N,35,17,9,19,52,10,29,8,1.9,1,52.2,0.17,1,0.0,0
FR,13/04/2024,Reims,Strasbourg,A,0.5,2.2,1,3, 1-3,D,Rouge 1,,O,O,,0.9,2.5,N,,16,21,3,12,36,2,15,2,2.2,1,44.4,0.23,0,0.69,1
FR,7/04/2024,Reims,Nice,H,0.5,1.9,0,0, 0-0,N,,,O,O,,0.8,3.4,,,19,34,5,17,48,7,13,4,0.2,0,50.0,0.0,0,0.16,0
FR,30/03/2024,Reims,Lyon,A,1.4,1.8,1,1, 1-1,N,,,O,O,,1.4,3.7,N,,30,38,8,14,30,6,21,3,0.9,0,44.0,0.15,0,0.0,0
FR,17/03/2024,Reims,Metz,H,2.2,0.9,2,1, 2-1,V,,,O,O,,3.6,1.5,O,,33,20,7,16,60,14,27,5,1.3,0,74.1,0.29,0,0.06,0
FR,10/03/2024,Reims,Paris,A,1.3,1.2,2,2, 2-2,N,,,,O,,2.6,2.6,N,,15,31,9,17,25,5,11,3,1.0,0,52.4,0.02,0,0.13,0
FR,2/03/2024,Reims,Lille,H,0.6,1.1,0,1, 0-1,D,,,,O,,1.4,0.3,,N,16,18,13,26,43,6,15,1,1.2,1,45.0,0.0,0,0.02,0
FR,25/02/2024,Reims,Le Havre,A,3.2,1.7,2,1, 2-1,V,Rouge 1,,,O,,3.2,1.5,O,,29,16,7,18,37,8,9,5,1.1,0,26.7,0.12,0,0.19,0
FR,18/02/2024,Reims,Lens,H,1.1,1.2,1,1, 1-1,N,,,,O,,2.0,2.6,N,,18,25,4,13,32,3,8,3,0.7,0,73.3,0.01,0,0.05,0
FR,11/02/2024,Reims,Lorient,A,1.2,1.9,0,2, 0-2,D,,,,O,O,2.3,2.7,,N,41,31,7,14,68,11,26,5,1.2,0,59.1,0.0,0,0.02,0
FR,4/02/2024,Reims,Toulouse,H,2.8,1.5,2,3, 2-3,D,,O,,O,,4.4,0.6,,N,32,31,13,29,43,9,19,4,2.3,1,50.0,0.15,0,0.04,0
FR,28/01/2024,Reims,Nantes,H,0.9,1.2,0,0, 0-0,N,,O,,O,,2.0,0.8,,,19,26,9,27,45,6,20,4,1.4,0,37.5,0.31,0,0.11,0
FR,13/01/2024,Reims,Monaco,A,1.5,1.2,3,1, 3-1,V,,O,,,,1.4,2.0,O,,20,27,18,26,27,2,24,10,1.2,0,68.4,0.0,0,0.0,0
FR,20/12/2023,Reims,Le Havre,H,1.2,0.2,1,0, 1-0,V,Rouge 2,,,,,2.2,0.5,O,,38,26,9,20,85,15,27,6,0.1,0,32.0,0.14,0,0.0,0
FR,16/12/2023,Reims,Lens,A,1.1,1.3,0,2, 0-2,D,,,,,,1.6,1.5,,N,23,29,13,18,54,10,29,4,0.8,1,69.2,0.34,0,0.16,0
FR,10/12/2023,Reims,Nice,A,1.3,0.9,1,2, 1-2,D,,,,,,2.0,1.0,,N,17,36,4,13,41,9,9,4,0.8,2,50.0,0.54,0,0.21,0
FR,1/12/2023,Reims,Strasbourg,H,1.3,1.7,2,1, 2-1,V,,,,,,1.5,1.6,O,,20,35,11,22,48,6,19,5,1.6,0,53.6,0.21,0,0.01,0
FR,26/11/2023,Reims,Rennes,A,1.6,1.8,1,3, 1-3,D,,,,,,3.3,2.7,,N,29,21,7,17,46,13,23,6,2.1,0,68.2,0.18,0,0.44,1
FR,11/11/2023,Reims,Paris,H,1.3,2.3,0,3, 0-3,D,,,O,,,1.8,3.8,,N,28,23,12,27,35,5,26,13,2.5,0,57.1,0.34,0,0.0,0
FR,5/11/2023,Reims,Nantes,A,1.1,1.8,1,0, 1-0,V,,,,,,2.5,2.6,O,,13,25,10,15,31,6,8,3,0.6,1,41.7,0.04,0,0.0,0
FR,28/10/2023,Reims,Lorient,H,0.8,0.4,1,0, 1-0,V,,,,O,,1.7,0.9,O,,22,30,10,17,68,9,21,5,0.1,0,52.4,0.0,0,0.0,0
FR,22/10/2023,Reims,Toulouse,A,1.3,0.8,1,1, 1-1,N,,,O,O,,2.3,1.2,N,,25,41,10,19,33,5,12,4,1.6,0,44.0,0.48,0,0.03,0
FR,7/10/2023,Reims,Monaco,H,1.5,1.2,1,3, 1-3,D,,,,,O,1.7,2.8,,N,16,23,15,30,48,11,22,4,1.8,0,54.3,0.0,0,0.09,0
