Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Rennes,Reims,A,1.5,1.3,1,2, 1-2,D,,,,,O,2.1,0.6,,N,27,27,18,30,87,13,27,5,2.0,0,69.2,0.39,0,0.0,0
FR,12/05/2024,Rennes,Lens,H,1.9,0.6,1,1, 1-1,N,,,O,,,3.2,0.7,,O,27,31,5,15,41,12,13,3,0.4,0,43.2,0.12,0,0.04,0
FR,4/05/2024,Rennes,Metz,A,2.1,0.6,3,2, 3-2,V,Rouge 2,,,,,2.2,0.8,,O,36,27,6,16,59,10,11,4,0.9,0,54.1,0.11,0,0.02,0
FR,28/04/2024,Rennes,Brest,H,2.6,2.0,4,5, 4-5,D,,,,,,1.6,3.0,N,,36,24,17,26,55,10,21,6,2.0,0,33.3,0.13,0,0.67,1
FR,20/04/2024,Rennes,Nantes,A,2.4,0.2,3,0, 3-0,V,,,,O,O,3.2,0.2,O,,27,16,17,31,52,8,19,4,0.6,1,50.0,0.09,0,0.01,0
FR,13/04/2024,Rennes,Toulouse,H,1.0,0.5,1,2, 1-2,D,,,O,,,1.9,1.4,N,,38,13,20,33,58,12,33,8,1.3,0,66.7,0.08,0,0.1,0
FR,7/04/2024,Rennes,Monaco,A,1.3,2.0,0,1, 0-1,D,Rouge 2,,,,,1.1,2.4,,N,22,18,8,19,52,8,17,2,1.1,1,43.5,0.0,0,0.11,0
FR,31/03/2024,Rennes,Strasbourg,A,1.1,2.5,0,2, 0-2,D,,,,,,2.2,3.3,,N,20,24,6,19,57,10,23,5,2.9,1,84.6,0.08,0,0.0,0
FR,17/03/2024,Rennes,Marseille,H,1.4,0.7,2,0, 2-0,V,,,,,O,1.4,0.8,O,,13,28,5,15,32,8,16,3,0.1,0,25.0,0.0,0,0.1,0
FR,10/03/2024,Rennes,Lille,A,1.1,2.4,2,2, 2-2,N,,,O,,,1.7,3.2,N,,21,15,7,12,29,5,11,2,2.0,1,21.7,0.03,0,0.05,0
FR,3/03/2024,Rennes,Lorient,H,1.4,2.0,1,2, 1-2,D,,,,,,2.8,1.9,N,,36,20,12,21,75,12,37,10,1.9,2,63.2,0.03,0,0.11,0
FR,25/02/2024,Rennes,Paris,A,0.8,1.9,1,1, 1-1,N,,,,,O,1.2,2.1,N,,6,42,15,24,24,1,9,3,1.4,0,47.4,0.0,0,0.0,0
C3,22/02/2024,Rennes,Milan,H,3.0,2.0,3,2, 3-2,V,,,,,,2.4,1.7,O,,44,19,4,9,62,12,35,6,3.5,0,53.8,0.66,0,0.07,0
FR,18/02/2024,Rennes,Clermont Foot,H,3.7,0.8,3,1, 3-1,V,Rouge 2,,,,,4.9,1.4,O,,29,17,11,22,52,11,25,6,0.8,0,68.8,0.0,0,0.07,1
C3,15/02/2024,Rennes,Milan,A,0.8,2.3,0,3, 0-3,D,,,,,,1.4,3.0,,N,22,22,9,17,42,10,18,3,2.4,0,25.0,0.08,0,0.18,0
FR,11/02/2024,Rennes,Le Havre,A,0.9,1.1,1,0, 1-0,V,,,,O,,1.6,2.5,O,,19,31,8,14,42,6,18,2,0.9,0,40.0,0.0,0,0.29,0
FR,3/02/2024,Rennes,Montpellier,H,2.0,1.2,2,1, 2-1,V,,,,,,1.7,1.8,O,,17,23,10,20,48,10,14,1,1.0,0,51.5,0.23,0,0.19,0
FR,26/01/2024,Rennes,Lyon,A,0.8,0.9,3,2, 3-2,V,,,,O,,1.3,1.7,O,,19,36,4,13,32,7,8,3,0.6,0,34.5,0.11,0,0.26,0
FR,13/01/2024,Rennes,Nice,H,2.0,0.7,2,0, 2-0,V,,,,O,,1.9,1.1,O,,24,27,7,20,31,14,10,2,0.3,0,59.1,0.08,0,0.02,0
FR,20/12/2023,Rennes,Clermont Foot,A,2.5,0.6,3,1, 3-1,V,Rouge 2,O,,,,2.6,1.3,,O,46,20,9,17,64,14,20,11,1.1,0,44.8,0.05,0,0.09,0
FR,17/12/2023,Rennes,Toulouse,A,0.7,0.9,0,0, 0-0,N,,O,,O,,1.6,1.7,,,19,31,12,22,46,10,20,4,1.4,0,44.0,0.26,0,0.05,0
C3,14/12/2023,Rennes,Villarreal,H,0.6,2.3,2,3, 2-3,D,,,,,,1.0,2.6,N,,15,24,10,15,58,7,22,10,2.2,0,55.6,0.07,0,0.04,0
FR,9/12/2023,Rennes,Monaco,H,1.7,0.9,1,2, 1-2,D,Rouge 2,,,,,1.4,1.9,,N,29,28,13,19,30,9,21,3,1.1,0,31.8,0.37,0,0.17,0
FR,3/12/2023,Rennes,Marseille,A,0.6,0.9,0,2, 0-2,D,Rouge 2,,,,,1.2,0.6,,N,17,24,11,17,58,12,24,3,1.3,0,61.1,0.0,0,0.0,0
