Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,26/05/2024,Roma,Empoli,A,1.3,2.6,1,2, 1-2,D,,,,,O,2.7,3.4,,N,26,29,9,10,45,11,31,8,2.6,3,64.3,0.46,0,0.07,0
IT,19/05/2024,Roma,Genoa,H,0.8,0.5,1,0, 1-0,V,Rouge 1,,,,,1.4,1.0,O,,40,17,8,19,44,12,33,8,1.0,0,37.5,0.05,0,0.04,0
IT,12/05/2024,Roma,Atalanta,A,1.2,2.7,1,2, 1-2,D,,O,,,,0.7,4.0,,N,18,27,5,10,27,7,6,0,1.8,0,50.0,0.04,0,0.26,0
C3,9/05/2024,Roma,Bayer Leverkusen,A,2.1,2.8,2,2, 2-2,N,,O,,,,1.1,4.6,,O,19,19,3,6,29,7,15,2,3.6,0,47.8,0.0,0,0.35,0
IT,5/05/2024,Roma,Juventus,H,1.7,1.2,1,1, 1-1,N,,,,,,2.3,2.0,N,,33,16,6,15,47,15,22,2,1.0,0,44.4,0.03,0,0.42,0
C3,2/05/2024,Roma,Bayer Leverkusen,H,1.5,2.0,0,2, 0-2,D,,,,,,3.1,3.2,,N,16,21,2,5,38,8,23,1,1.3,1,61.5,0.24,0,0.05,0
IT,28/04/2024,Roma,Napoli,A,1.6,3.0,2,2, 2-2,N,,,,,O,1.2,3.0,,O,18,21,7,13,30,7,14,4,3.2,0,46.7,0.1,0,0.14,0
IT,25/04/2024,Roma,Udinese,A,1.4,0.6,2,1, 2-1,V,,,O,,,2.0,0.7,,O,27,22,7,15,63,11,20,2,1.4,1,63.6,0.28,1,0.13,0
IT,22/04/2024,Roma,Bologna,H,2.0,1.1,1,3, 1-3,D,,,,,O,1.7,1.5,,N,23,26,4,11,45,10,19,6,1.5,0,57.9,0.55,0,0.0,0
C3,18/04/2024,Roma,Milan,H,1.4,1.0,2,1, 2-1,V,Rouge 1,,,O,,0.5,2.5,O,,9,23,5,10,14,3,7,3,0.4,0,52.2,0.0,0,0.04,0
C3,11/04/2024,Roma,Milan,A,0.6,1.6,1,0, 1-0,V,,,,,,1.4,2.5,O,,20,24,4,11,34,11,19,5,1.5,1,45.8,0.23,1,0.15,0
IT,6/04/2024,Roma,Lazio,H,0.7,0.4,1,0, 1-0,V,,,,,,0.9,0.8,O,,28,21,9,14,25,7,16,3,0.0,2,55.6,0.12,1,0.03,0
IT,1/04/2024,Roma,Lecce,A,1.3,1.8,0,0, 0-0,N,,O,O,,,2.1,2.3,,,17,27,4,9,44,7,15,3,0.3,1,42.9,0.05,0,0.44,0
IT,17/03/2024,Roma,Sassuolo,H,0.7,0.5,1,0, 1-0,V,,O,,,,1.8,0.4,O,,20,22,8,22,61,10,19,3,1.0,0,60.0,0.03,0,0.04,0
C3,14/03/2024,Roma,Brighton,A,0.4,1.4,0,1, 0-1,D,,O,,,O,0.5,2.9,,N,13,22,4,11,20,5,15,3,1.1,0,26.3,0.04,0,0.16,0
IT,10/03/2024,Roma,Fiorentina,A,0.6,2.1,2,2, 2-2,N,,,O,,,1.1,1.9,,O,20,15,3,8,54,12,17,7,2.3,1,37.5,0.03,0,0.17,0
C3,7/03/2024,Roma,Brighton,H,2.9,1.0,4,0, 4-0,V,,,,,,5.0,2.0,O,,25,26,4,10,17,10,11,3,1.1,0,43.8,0.0,0,0.0,0
