Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,25/05/2024,Salernitana,Milan,A,1.7,3.0,3,3, 3-3,N,,,,O,,1.2,3.6,,O,21,27,2,9,24,2,17,2,3.6,1,23.8,0.45,1,0.31,1
IT,20/05/2024,Salernitana,Verona,H,0.6,2.1,1,2, 1-2,D,,,,,,0.2,3.5,,N,14,12,1,10,22,1,5,1,1.9,0,40.5,0.06,0,0.06,0
IT,12/05/2024,Salernitana,Juventus,A,0.8,2.3,1,1, 1-1,N,,O,O,,O,1.1,4.3,,O,24,31,5,11,19,3,12,6,1.0,0,45.9,0.12,1,0.53,0
IT,6/05/2024,Salernitana,Atalanta,H,0.5,1.9,1,2, 1-2,D,,O,O,,O,0.7,3.1,N,,16,30,6,11,23,1,9,4,0.9,0,36.8,0.02,0,0.06,0
IT,26/04/2024,Salernitana,Frosinone,A,1.4,1.7,0,3, 0-3,D,,O,O,,O,2.3,1.1,,N,30,14,4,10,36,7,15,1,2.2,0,60.0,0.07,0,0.07,0
IT,21/04/2024,Salernitana,Fiorentina,H,0.2,2.0,0,2, 0-2,D,,,O,,O,0.3,3.0,,N,8,31,4,10,9,3,2,2,1.4,0,48.8,0.05,0,0.0,0
IT,12/04/2024,Salernitana,Lazio,A,0.6,1.9,1,4, 1-4,D,,,,O,O,1.2,2.5,,N,13,12,8,20,20,2,11,1,3.8,0,50.0,0.0,0,0.12,0
IT,5/04/2024,Salernitana,Sassuolo,H,1.2,2.3,2,2, 2-2,N,,,,O,O,0.8,3.5,N,,9,24,8,10,36,5,9,2,2.1,1,44.7,0.0,0,0.09,0
IT,1/04/2024,Salernitana,Bologna,A,0.6,1.6,0,3, 0-3,D,,,,O,O,0.9,2.8,,N,11,27,7,18,20,2,14,5,1.6,0,33.3,0.03,0,0.05,0
IT,16/03/2024,Salernitana,Lecce,H,1.2,1.2,0,1, 0-1,D,,,,O,O,1.7,2.0,,,28,14,5,14,61,13,18,3,0.2,0,62.2,0.13,0,0.11,0
IT,9/03/2024,Salernitana,Cagliari,A,0.9,3.3,2,4, 2-4,D,,,,,,1.7,1.7,,N,22,16,7,13,70,9,23,7,3.4,1,64.7,0.14,1,0.07,0
IT,2/03/2024,Salernitana,Udinese,A,1.1,1.8,1,1, 1-1,N,Rouge 2,,,O,O,1.4,3.0,,O,31,19,1,6,26,5,15,3,1.8,0,36.4,0.04,0,0.04,0
IT,24/02/2024,Salernitana,Monza,H,0.9,2.4,0,2, 0-2,D,,,O,O,,1.3,5.1,,N,21,16,5,14,37,5,16,3,2.9,0,31.8,0.08,0,0.14,0
