Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,26/05/2024,Sassuolo,Lazio,A,1.1,1.0,1,1, 1-1,N,,O,O,O,O,0.8,1.7,,O,16,31,8,19,30,5,13,4,1.8,1,35.0,0.0,0,0.01,0
IT,19/05/2024,Sassuolo,Cagliari,H,0.3,1.5,0,2, 0-2,D,Rouge 1,O,,,O,0.7,1.1,,N,14,22,9,13,28,5,13,1,1.1,0,49.0,0.14,0,0.0,0
IT,12/05/2024,Sassuolo,Genoa,A,1.7,0.9,1,2, 1-2,D,,O,,,O,1.7,1.2,,N,24,19,4,11,43,12,14,6,0.7,1,45.9,0.02,0,0.02,0
IT,4/05/2024,Sassuolo,Inter,H,0.3,1.1,1,0, 1-0,V,,O,,,O,0.3,2.2,O,,10,15,3,14,15,1,9,1,0.1,0,45.5,0.02,0,0.0,0
IT,28/04/2024,Sassuolo,Fiorentina,A,0.3,3.2,1,5, 1-5,D,,O,O,,O,0.3,5.6,,N,13,23,5,12,21,4,8,2,4.5,0,30.3,0.06,0,0.09,0
IT,21/04/2024,Sassuolo,Lecce,H,0.6,2.3,0,3, 0-3,D,,O,,,O,1.3,3.1,,N,17,16,12,22,49,13,16,4,1.8,0,48.1,0.21,0,0.14,1
IT,14/04/2024,Sassuolo,Milan,H,1.2,2.8,3,3, 3-3,N,,O,,,O,0.9,2.7,N,,16,35,5,12,24,8,9,3,2.4,1,32.3,0.0,0,0.08,0
IT,5/04/2024,Sassuolo,Salernitana,A,2.3,1.2,2,2, 2-2,N,,O,,,O,3.5,0.8,,O,29,11,4,11,47,15,17,2,1.3,0,55.3,0.09,0,0.0,0
IT,1/04/2024,Sassuolo,Udinese,H,1.2,1.5,1,1, 1-1,N,,O,,,O,1.7,1.3,N,,25,19,14,24,40,10,24,8,1.0,0,31.3,0.03,0,0.0,0
IT,17/03/2024,Sassuolo,Roma,A,0.5,0.7,0,1, 0-1,D,,O,,,O,0.4,1.8,,N,15,20,7,13,38,4,20,8,0.6,0,40.0,0.04,0,0.03,0
