Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,26/05/2024,Sevilla,Barcelona,H,1.5,1.3,1,2, 1-2,D,,,,,,2.4,3.1,,N,28,27,7,12,29,7,19,5,2.2,0,44.4,0.29,0,0.01,0
ES,19/05/2024,Sevilla,Athletic Club,A,0.9,1.6,0,2, 0-2,D,,,,,,1.7,2.2,,N,15,30,9,16,32,7,14,3,1.5,0,38.9,0.35,0,0.3,0
ES,15/05/2024,Sevilla,Cadiz,H,1.3,2.5,0,1, 0-1,D,,,,,,2.1,2.4,,N,24,25,10,22,44,7,24,5,1.7,0,56.7,0.0,0,0.02,0
ES,11/05/2024,Sevilla,Villarreal,A,1.7,3.1,2,3, 2-3,D,,,,O,,2.0,5.8,,N,14,27,4,10,15,7,7,1,3.3,1,47.8,0.09,0,0.09,0
ES,5/05/2024,Sevilla,Granada,H,1.7,0.4,3,0, 3-0,V,,,,,,2.7,0.6,O,,21,25,10,16,33,8,21,6,0.4,0,61.1,0.06,0,0.0,0
ES,28/04/2024,Sevilla,Real Betis,A,1.4,1.8,1,1, 1-1,N,,,,,,0.6,1.7,N,,15,30,7,20,21,2,16,3,1.5,0,48.6,0.22,1,0.39,0
ES,22/04/2024,Sevilla,Mallorca,H,1.1,0.7,2,1, 2-1,V,,,,,,1.3,1.0,O,,21,21,3,9,28,2,16,3,0.9,0,54.8,0.04,0,0.24,1
ES,14/04/2024,Sevilla,Las Palmas,A,2.1,0.1,2,0, 2-0,V,Rouge 2,,,,,2.2,0.2,O,,18,23,3,10,31,7,19,3,0.1,0,75.0,0.42,0,0.0,0
ES,30/03/2024,Sevilla,Getafe,A,0.8,1.6,1,0, 1-0,V,,,,,,0.3,1.8,O,,15,32,5,21,15,1,6,0,1.1,2,54.5,0.03,0,0.17,0
ES,17/03/2024,Sevilla,Celta Vigo,H,1.7,1.6,1,2, 1-2,D,,,,O,,1.3,3.3,N,,22,17,7,16,23,7,12,4,2.8,0,68.2,0.07,0,0.0,0
ES,11/03/2024,Sevilla,Almeria,A,2.4,2.0,2,2, 2-2,N,,,,,,4.1,2.6,,O,34,30,7,10,43,11,21,6,1.3,2,47.6,0.65,0,0.0,0
ES,2/03/2024,Sevilla,Real Sociedad,H,2.0,1.5,3,2, 3-2,V,,,O,,,1.8,1.4,O,,21,29,8,23,24,5,11,5,1.9,0,54.8,0.13,0,0.11,0
ES,25/02/2024,Sevilla,Real Madrid,A,0.8,1.0,0,1, 0-1,D,,,,,,0.8,1.9,,N,7,32,1,6,21,3,12,1,0.7,0,50.0,0.16,0,0.08,0
ES,17/02/2024,Sevilla,Valencia,A,0.0,1.0,0,0, 0-0,N,,,O,,,0.4,1.7,,,2,20,6,11,34,8,9,0,1.4,0,47.6,0.0,0,0.01,0
ES,11/02/2024,Sevilla,Atletico Madrid,H,1.0,1.5,1,0, 1-0,V,,,,,,2.3,2.4,O,,15,35,13,21,34,8,23,4,0.6,0,68.2,0.04,0,0.07,0
ES,5/02/2024,Sevilla,Rayo Vallecano,A,1.3,1.8,2,1, 2-1,V,,O,,,,1.4,2.7,O,,17,23,5,15,23,3,12,4,1.0,2,67.7,0.0,0,0.23,0
ES,28/01/2024,Sevilla,Osasuna,H,0.8,1.2,1,1, 1-1,N,,,,,O,1.4,1.9,N,,18,17,6,12,30,1,16,8,1.3,0,50.0,0.06,0,0.07,0
ES,21/01/2024,Sevilla,Girona,A,0.7,2.3,1,5, 1-5,D,,,,,O,0.8,4.5,N,,15,25,5,13,48,9,13,2,2.3,0,38.5,0.03,0,0.06,0
ES,12/01/2024,Sevilla,Alaves,H,2.2,2.0,2,3, 2-3,D,,,,O,O,1.5,1.9,,N,31,18,8,21,60,10,35,5,2.8,0,72.5,0.05,0,0.2,0
ES,4/01/2024,Sevilla,Athletic Club,H,0.7,1.3,0,2, 0-2,D,,,,,O,1.3,1.9,,N,21,34,7,14,44,10,12,2,2.0,1,61.1,0.05,0,0.0,0
ES,23/12/2023,Sevilla,Atletico Madrid,A,0.3,0.9,0,1, 0-1,D,Rouge 2,,,O,,0.5,1.8,,N,12,24,5,14,49,4,20,3,2.0,0,52.2,0.04,0,0.0,0
ES,19/12/2023,Sevilla,Granada,A,0.5,0.9,3,0, 3-0,V,,,,O,,1.0,1.8,O,,22,24,8,17,27,2,12,4,0.8,0,55.6,0.14,1,0.13,0
ES,16/12/2023,Sevilla,Getafe,H,1.0,2.4,0,3, 0-3,D,,,,O,,1.7,1.5,,N,21,25,7,19,45,11,8,2,2.6,1,39.4,0.02,0,0.0,0
C1,12/12/2023,Sevilla,Lens,A,1.3,1.4,1,2, 1-2,D,,,O,O,,1.1,0.9,,N,16,32,3,13,38,8,11,0,1.8,0,55.2,0.25,0,0.0,0
ES,9/12/2023,Sevilla,Mallorca,A,0.6,0.5,0,1, 0-1,D,,,,O,,1.1,0.8,,N,34,25,9,20,44,7,15,5,0.7,0,47.7,0.08,0,0.0,0
ES,3/12/2023,Sevilla,Villarreal,H,1.8,1.2,1,1, 1-1,N,,O,,O,,2.9,1.6,N,,33,27,12,21,73,18,30,7,1.7,0,50.0,0.23,0,0.0,0
C1,29/11/2023,Sevilla,PSV Eindhoven,H,1.8,2.2,2,3, 2-3,D,Rouge 1,,,O,,3.0,2.7,N,,21,29,8,18,23,7,7,3,2.0,0,44.8,0.63,1,0.0,0
ES,26/11/2023,Sevilla,Real Sociedad,A,0.6,0.7,1,2, 1-2,D,,,,,,1.3,1.4,,N,16,37,8,19,26,7,6,1,2.2,0,46.7,0.18,0,0.1,0
ES,12/11/2023,Sevilla,Real Betis,H,0.7,1.8,1,1, 1-1,N,,O,,,,1.1,2.3,,O,25,38,6,14,49,8,19,5,1.6,0,51.4,0.08,0,0.09,0
C1,8/11/2023,Sevilla,Arsenal,A,0.0,1.5,0,2, 0-2,D,,O,O,,,0.1,2.5,,N,2,36,2,8,8,1,7,1,1.4,0,38.1,0.0,0,0.24,0
ES,4/11/2023,Sevilla,Celta Vigo,A,0.9,2.1,1,1, 1-1,N,Rouge 2,O,,,,2.0,2.2,,O,26,19,11,15,43,11,21,2,0.3,0,53.3,0.18,0,0.66,1
ES,28/10/2023,Sevilla,Cadiz,A,1.2,1.1,2,2, 2-2,N,,,,O,,2.1,1.7,,O,35,22,15,32,59,11,26,7,1.1,0,63.0,0.55,0,0.0,0
C1,24/10/2023,Sevilla,Arsenal,H,0.8,1.9,1,2, 1-2,D,,,,O,,1.5,2.8,,N,18,15,11,19,45,7,24,5,1.8,0,56.3,0.26,1,0.1,0
ES,21/10/2023,Sevilla,Real Madrid,H,1.5,1.6,1,1, 1-1,N,,,,O,,2.6,2.7,,O,29,21,11,19,39,10,18,5,0.9,0,57.9,0.34,0,0.56,1
ES,7/10/2023,Sevilla,Rayo Vallecano,H,1.0,1.0,2,2, 2-2,N,,O,,,,2.2,0.9,,O,38,24,11,14,66,15,23,2,1.2,0,57.6,0.32,1,0.0,0
C1,3/10/2023,Sevilla,PSV Eindhoven,A,1.3,2.6,2,2, 2-2,N,,,,O,,2.2,3.5,,O,17,23,7,16,24,6,11,4,2.5,0,37.1,0.03,0,0.18,0
ES,29/09/2023,Sevilla,Barcelona,A,1.1,2.4,0,1, 0-1,D,,,,,O,1.8,3.7,,,24,32,4,13,28,7,13,7,1.6,0,53.6,0.52,0,0.33,0
ES,26/09/2023,Sevilla,Almeria,H,2.2,1.8,5,1, 5-1,V,,O,O,,,2.4,1.8,O,,34,22,11,21,32,9,18,7,1.0,0,57.6,0.07,0,0.23,0
ES,23/09/2023,Sevilla,Osasuna,A,0.8,1.4,0,0, 0-0,N,,O,,,,1.4,2.1,,,27,30,7,17,41,11,17,3,0.2,0,50.9,0.07,0,0.0,0
C1,20/09/2023,Sevilla,Lens,H,0.8,1.3,1,1, 1-1,N,,,,O,,1.9,2.8,N,,18,23,8,28,40,8,19,2,1.3,0,53.8,0.18,1,0.39,0
ES,17/09/2023,Sevilla,Las Palmas,H,1.7,1.0,1,0, 1-0,V,,,,,,2.6,1.9,O,,46,39,10,19,46,10,17,7,0.5,0,47.6,0.01,0,0.0,0
ES,26/08/2023,Sevilla,Girona,H,1.7,1.7,1,2, 1-2,D,,O,,,,2.8,1.5,N,,39,27,6,15,46,9,22,3,0.8,0,51.6,0.15,0,0.76,1
ES,21/08/2023,Sevilla,Alaves,A,0.6,1.8,3,4, 3-4,D,,O,,O,,1.2,2.6,,N,22,22,13,19,48,6,17,2,2.6,0,52.9,0.31,0,0.0,0
ES,11/08/2023,Sevilla,Valencia,H,0.7,1.1,1,2, 1-2,D,,O,,,,1.3,1.8,,N,17,32,7,26,23,7,15,4,1.1,0,47.2,0.0,0,0.0,0
