Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Sheffield United,Tottenham,H,1.0,3.1,0,3, 0-3,D,,O,,,,1.2,4.1,,N,10,23,2,8,17,5,2,1,2.4,0,45.0,0.0,0,0.05,0
UK,11/05/2024,Sheffield United,Everton,A,0.6,2.3,0,1, 0-1,D,,O,,,,0.8,4.3,,N,23,23,3,17,28,6,8,3,2.0,0,43.5,0.05,0,0.0,0
UK,4/05/2024,Sheffield United,Nottingham Forest,H,2.2,1.5,1,3, 1-3,D,Rouge 1,O,,,O,2.4,2.4,,N,32,18,9,18,51,9,18,6,1.1,0,43.8,0.0,0,0.29,0
UK,27/04/2024,Sheffield United,Newcastle United,A,1.5,3.1,1,5, 1-5,D,,O,,,,2.8,3.7,N,,25,34,12,22,27,7,19,8,3.6,0,42.1,0.06,0,0.42,1
UK,24/04/2024,Sheffield United,Manchester United,A,0.8,2.9,2,4, 2-4,D,,O,,,,0.8,4.0,N,,16,35,8,17,20,2,7,2,4.0,0,45.8,0.03,0,0.4,0
UK,20/04/2024,Sheffield United,Burnley,H,2.4,2.2,1,4, 1-4,D,,,,,,3.4,2.2,,N,34,25,8,14,48,8,17,9,3.9,0,55.6,0.18,0,0.0,0
UK,13/04/2024,Sheffield United,Brentford,A,0.8,1.0,0,2, 0-2,D,,,,,O,1.6,2.1,,N,14,20,18,23,19,7,14,3,0.7,1,45.2,0.0,0,0.04,0
UK,7/04/2024,Sheffield United,Chelsea,H,1.4,0.3,2,2, 2-2,N,,,,,O,2.2,0.7,,O,20,23,10,15,30,6,12,3,0.5,0,52.3,0.04,0,0.11,1
UK,4/04/2024,Sheffield United,Liverpool,A,0.6,1.8,1,3, 1-3,D,,,,,,0.8,3.2,,N,10,25,8,15,16,4,3,0,1.8,1,41.2,0.04,0,0.09,0
UK,30/03/2024,Sheffield United,Fulham,H,1.9,1.3,3,3, 3-3,N,,,,,,3.3,1.7,N,,12,25,3,5,15,3,7,3,1.5,0,54.8,0.02,0,0.3,1
UK,9/03/2024,Sheffield United,Bournemouth,A,1.2,3.3,2,2, 2-2,N,,,,,,1.1,4.7,N,,20,27,6,15,21,4,7,5,1.9,0,43.6,0.42,0,0.96,1
UK,4/03/2024,Sheffield United,Arsenal,H,0.2,2.3,0,6, 0-6,D,,,O,,,0.3,3.5,,N,6,28,2,7,13,2,5,2,2.2,1,41.2,0.0,0,0.05,0
UK,25/02/2024,Sheffield United,Wolves,A,0.6,1.3,0,1, 0-1,D,,O,O,,,0.9,1.6,,N,17,25,4,16,25,6,9,4,0.8,0,50.0,0.02,0,0.16,0
UK,18/02/2024,Sheffield United,Brighton,H,0.6,2.9,0,5, 0-5,D,Rouge 1,O,O,,,0.9,4.1,,N,10,12,9,18,16,4,6,4,2.7,1,29.2,0.0,0,0.23,0
UK,10/02/2024,Sheffield United,Luton,A,1.7,1.8,3,1, 3-1,V,,O,O,,,1.1,2.2,O,,9,31,4,10,10,2,4,3,2.1,0,47.4,0.1,0,0.38,0
UK,3/02/2024,Sheffield United,Aston Villa,H,1.4,2.2,0,5, 0-5,D,,O,,,,1.2,2.5,,N,18,25,8,14,24,4,6,5,3.1,1,42.1,0.35,0,0.03,0
UK,30/01/2024,Sheffield United,Crystal Palace,A,0.8,1.1,2,3, 2-3,D,,,,,,1.2,2.3,N,,16,50,3,13,31,6,13,2,0.4,0,66.7,0.02,0,0.1,0
UK,21/01/2024,Sheffield United,West Ham,H,2.5,2.3,2,2, 2-2,N,Rouge 1,,,,,2.3,1.2,,O,38,23,15,26,41,11,20,5,2.4,0,46.2,0.09,0,0.25,0
UK,30/12/2023,Sheffield United,Manchester City,A,0.3,2.2,0,2, 0-2,D,,O,O,O,,0.5,3.8,,N,8,22,4,6,6,3,4,0,2.4,0,37.5,0.09,0,0.0,0
UK,26/12/2023,Sheffield United,Luton,H,2.4,0.6,2,3, 2-3,D,,,O,,,2.7,1.0,,N,31,33,5,11,23,5,13,6,0.9,2,50.0,0.24,0,0.04,0
UK,22/12/2023,Sheffield United,Aston Villa,A,0.6,0.9,1,1, 1-1,N,,O,O,,,0.8,2.3,,O,9,41,7,17,11,2,6,2,0.7,1,50.0,0.01,0,0.14,0
UK,16/12/2023,Sheffield United,Chelsea,A,0.4,3.1,0,2, 0-2,D,,,O,,,0.5,4.8,,N,10,41,7,18,16,4,6,4,1.9,2,54.5,0.0,0,0.0,0
UK,9/12/2023,Sheffield United,Brentford,H,0.8,0.6,1,0, 1-0,V,,O,O,,,1.1,1.1,O,,15,22,8,23,29,9,17,4,0.3,0,60.5,0.0,0,0.06,0
UK,6/12/2023,Sheffield United,Liverpool,H,1.0,1.7,0,2, 0-2,D,,O,O,,,1.1,2.9,,N,9,29,9,23,12,3,6,3,3.0,0,31.6,0.07,0,0.41,1
UK,2/12/2023,Sheffield United,Burnley,A,0.4,1.8,0,5, 0-5,D,Rouge 1,,O,,O,0.7,2.8,,N,10,21,6,16,17,5,7,3,2.8,0,40.5,0.0,0,0.14,0
UK,25/11/2023,Sheffield United,Bournemouth,H,0.8,2.9,1,3, 1-3,D,,,O,,,1.4,2.8,N,,14,32,5,12,36,8,9,3,3.4,1,47.5,0.02,0,0.06,0
UK,12/11/2023,Sheffield United,Brighton,A,1.1,1.5,1,1, 1-1,N,Rouge 2,O,O,,,1.0,2.3,,O,15,35,6,15,28,9,12,2,1.2,1,44.0,0.0,0,0.23,0
UK,4/11/2023,Sheffield United,Wolves,H,1.0,1.2,2,1, 2-1,V,,O,O,,,0.6,2.2,O,,16,29,2,8,30,6,9,3,1.4,0,26.5,0.0,0,0.28,0
UK,28/10/2023,Sheffield United,Arsenal,A,0.0,2.8,0,5, 0-5,D,,O,O,,,0.1,2.9,,N,4,28,3,10,12,1,8,2,4.0,1,47.6,0.0,0,0.31,2
UK,21/10/2023,Sheffield United,Manchester United,H,1.4,1.1,1,2, 1-2,D,,,O,,,1.1,1.1,,N,17,28,7,18,24,9,11,4,2.4,1,51.5,0.01,0,0.0,0
UK,7/10/2023,Sheffield United,Fulham,A,0.6,2.2,1,3, 1-3,D,,,O,,,0.4,3.0,,N,9,31,8,21,22,2,4,2,1.8,1,47.4,0.15,0,0.03,0
UK,30/09/2023,Sheffield United,West Ham,A,1.1,2.1,0,2, 0-2,D,,,O,,,1.5,4.7,,N,27,15,5,10,45,9,12,6,2.4,0,48.4,0.15,0,0.41,0
UK,24/09/2023,Sheffield United,Newcastle United,H,0.9,3.9,0,8, 0-8,D,,O,O,,,0.9,4.8,,N,17,31,10,20,32,5,10,4,6.8,2,45.0,0.0,0,0.28,2
UK,16/09/2023,Sheffield United,Tottenham,A,0.7,2.1,1,2, 1-2,D,Rouge 1,,O,,,1.0,3.8,,N,11,32,5,10,13,4,3,0,2.0,0,58.3,0.24,1,0.35,1
