Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Strasbourg,Lyon,A,1.1,2.8,1,2, 1-2,D,,O,,,,0.6,2.9,,N,17,31,8,15,37,3,15,3,2.8,0,17.6,0.07,0,0.09,0
FR,12/05/2024,Strasbourg,Metz,H,1.3,1.1,2,1, 2-1,V,,,,,,1.8,1.4,,O,21,24,10,16,58,8,17,4,0.3,1,53.8,0.0,0,0.37,0
FR,4/05/2024,Strasbourg,Le Havre,A,1.0,1.8,1,3, 1-3,D,,,,,,2.0,2.7,,N,9,15,5,18,52,7,16,2,2.3,0,57.1,0.12,1,0.24,0
FR,28/04/2024,Strasbourg,Nice,H,0.6,1.6,1,3, 1-3,D,,,,,,0.8,1.2,N,,25,25,7,24,31,4,15,4,1.5,0,70.0,0.06,0,0.08,1
FR,21/04/2024,Strasbourg,Lille,A,1.3,0.8,0,1, 0-1,D,,,,,,1.9,1.5,,N,14,22,7,15,28,5,16,1,0.9,1,55.6,0.0,0,0.2,0
FR,13/04/2024,Strasbourg,Reims,H,2.2,0.5,3,1, 3-1,V,Rouge 2,,,O,,2.5,0.9,,O,24,26,18,28,45,8,9,3,0.8,0,55.6,0.69,1,0.23,0
FR,7/04/2024,Strasbourg,Toulouse,A,0.5,1.0,0,0, 0-0,N,,,,,,0.8,1.8,,,15,23,12,21,24,4,20,1,0.1,0,27.8,0.03,0,0.14,0
FR,31/03/2024,Strasbourg,Rennes,H,2.5,1.1,2,0, 2-0,V,,,,,,3.3,2.2,O,,22,30,9,24,24,7,14,5,0.0,0,15.4,0.0,0,0.08,0
FR,16/03/2024,Strasbourg,Nantes,A,1.9,1.1,3,1, 3-1,V,,,,,,2.6,2.2,O,,20,26,11,17,20,5,12,4,1.1,1,34.5,0.0,0,0.14,0
FR,10/03/2024,Strasbourg,Monaco,H,0.4,1.3,0,1, 0-1,D,,,,,O,0.6,2.3,,N,12,28,4,12,23,4,14,3,0.9,0,40.5,0.03,0,0.06,0
FR,3/03/2024,Strasbourg,Montpellier,A,1.7,1.7,2,2, 2-2,N,,,O,,O,1.5,2.4,N,,21,22,8,18,30,8,22,8,0.6,1,35.3,0.15,0,0.0,0
FR,24/02/2024,Strasbourg,Brest,H,0.2,1.8,0,3, 0-3,D,,O,,,,0.4,1.5,,N,12,26,15,26,40,3,12,1,2.5,0,47.6,0.0,0,0.12,0
FR,18/02/2024,Strasbourg,Lorient,H,1.5,2.0,1,3, 1-3,D,Rouge 1,,,,O,2.8,2.3,,N,33,33,10,18,67,15,27,2,1.4,2,57.1,0.32,1,0.08,0
FR,10/02/2024,Strasbourg,Lens,A,1.8,1.6,1,3, 1-3,D,,,,,O,2.5,2.5,,N,28,31,8,16,47,11,16,1,2.8,1,27.8,0.14,0,0.17,0
FR,2/02/2024,Strasbourg,Paris,H,2.7,2.0,1,2, 1-2,D,,,,,O,4.4,1.5,,N,36,29,10,20,38,9,18,8,1.8,1,44.0,0.04,0,0.0,0
FR,28/01/2024,Strasbourg,Clermont Foot,A,1.0,1.5,1,1, 1-1,N,,,,,O,2.3,2.5,N,,10,26,9,15,31,7,10,1,2.1,1,50.0,0.0,0,0.08,0
FR,12/01/2024,Strasbourg,Marseille,A,1.2,1.4,1,1, 1-1,N,,,,,O,1.6,2.6,,O,31,29,6,11,39,10,24,5,0.6,0,35.3,0.05,1,0.11,0
FR,20/12/2023,Strasbourg,Lille,H,0.8,0.5,2,1, 2-1,V,,,,,O,1.5,1.1,O,,15,36,6,20,28,9,9,2,0.2,0,57.1,0.08,0,0.08,0
FR,17/12/2023,Strasbourg,Lorient,A,0.9,0.8,2,1, 2-1,V,,,,,O,0.8,1.6,O,,21,27,14,19,25,5,19,4,0.8,0,30.0,0.0,0,0.0,0
FR,10/12/2023,Strasbourg,Le Havre,H,1.6,1.3,2,1, 2-1,V,,,,O,O,1.6,1.8,O,,19,44,7,17,28,7,13,3,0.9,0,60.6,0.39,1,0.33,1
FR,7/12/2023,Strasbourg,Brest,A,1.5,1.1,1,1, 1-1,N,,,,,O,2.9,1.8,,O,18,26,11,20,30,8,14,3,0.2,0,46.7,0.12,0,0.0,0
FR,1/12/2023,Strasbourg,Reims,A,1.7,1.3,1,2, 1-2,D,,,,,O,1.6,1.5,,N,17,27,8,18,40,5,12,2,0.6,0,46.4,0.01,0,0.21,0
FR,25/11/2023,Strasbourg,Marseille,H,1.1,1.4,1,1, 1-1,N,,,,O,O,1.8,2.5,N,,24,35,12,24,33,5,35,8,1.3,0,63.2,0.2,0,0.2,0
FR,5/11/2023,Strasbourg,Clermont Foot,H,1.0,0.9,0,0, 0-0,N,Rouge 1,,,,O,1.9,2.1,,,33,41,13,21,31,7,30,5,0.3,0,44.4,0.08,0,0.03,0
FR,29/10/2023,Strasbourg,Rennes,A,1.0,1.1,1,1, 1-1,N,,,O,,O,0.9,1.7,,O,19,32,2,10,21,9,15,3,1.0,0,55.0,0.0,0,0.27,0
FR,21/10/2023,Strasbourg,Paris,A,0.4,2.0,0,3, 0-3,D,,,O,,O,0.8,2.4,,N,13,34,11,23,17,3,12,1,2.9,0,66.7,0.07,0,0.04,0
FR,6/10/2023,Strasbourg,Nantes,H,0.7,1.9,1,2, 1-2,D,,,,,O,2.2,2.2,N,,16,22,4,12,42,9,14,2,1.7,1,63.6,0.0,0,0.0,0
FR,29/09/2023,Strasbourg,Lens,H,0.3,0.8,0,1, 0-1,D,,,O,,O,0.8,1.0,,N,15,17,3,13,37,6,16,0,1.1,1,52.6,0.1,0,0.0,0
FR,24/09/2023,Strasbourg,Metz,A,0.4,1.1,1,0, 1-0,V,,,O,,O,0.6,1.6,O,,7,25,10,18,33,6,16,2,0.1,0,55.6,0.0,0,0.09,0
