Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Stuttgart,Mönchengladbach,H,1.6,1.3,4,0, 4-0,V,,,,O,O,3.2,2.4,O,,41,20,13,23,51,8,23,11,1.1,0,38.5,0.13,0,0.0,0
AL,10/05/2024,Stuttgart,Augsburg,A,1.9,0.6,1,0, 1-0,V,,,,O,O,3.3,1.0,O,,35,13,3,12,59,12,23,6,0.0,0,36.0,0.06,0,0.13,0
AL,4/05/2024,Stuttgart,Bayern Munich,H,1.8,1.7,3,1, 3-1,V,,,,O,O,2.7,1.5,O,,40,23,9,17,62,17,17,7,1.4,0,38.5,0.0,0,0.07,0
AL,27/04/2024,Stuttgart,Bayer Leverkusen,A,1.7,1.4,2,2, 2-2,N,,,,O,O,1.9,1.5,N,,20,24,9,16,36,7,12,3,1.6,1,68.4,0.0,0,0.0,0
AL,21/04/2024,Stuttgart,Werder Bremen,A,2.2,1.5,1,2, 1-2,D,,,,O,O,5.0,1.1,,N,28,28,12,21,57,11,24,9,1.8,0,60.9,0.15,0,0.0,0
AL,13/04/2024,Stuttgart,Eintracht Frankfurt,H,1.2,0.6,3,0, 3-0,V,,,,O,O,2.7,1.0,O,,12,24,6,11,31,11,12,3,1.0,0,43.8,0.0,0,0.06,0
AL,6/04/2024,Stuttgart,Dortmund,A,1.6,2.5,1,0, 1-0,V,,,,O,O,2.6,3.6,O,,19,22,11,14,27,6,14,4,1.4,0,37.5,0.08,0,0.4,0
AL,31/03/2024,Stuttgart,Heidenheim,H,3.0,1.3,3,3, 3-3,N,,,,O,O,4.5,2.7,N,,35,22,13,26,67,14,27,7,1.7,1,40.0,0.19,0,0.18,0
AL,16/03/2024,Stuttgart,Hoffenheim,A,3.7,0.5,3,0, 3-0,V,,,,O,O,6.4,0.8,O,,45,24,12,19,54,10,19,10,0.1,0,57.1,0.12,0,0.05,0
AL,8/03/2024,Stuttgart,Union Berlin,H,1.0,0.9,2,0, 2-0,V,Rouge 2,,,O,O,1.9,1.0,O,,23,19,11,21,55,12,22,4,0.3,2,22.2,0.0,0,0.12,0
AL,2/03/2024,Stuttgart,Wolfsburg,A,1.1,0.8,3,2, 3-2,V,,,O,O,O,0.7,1.3,O,,13,19,7,18,36,4,13,5,1.0,0,52.6,0.0,0,0.18,0
AL,24/02/2024,Stuttgart,Köln,H,2.2,0.7,1,1, 1-1,N,,,O,O,O,5.2,0.8,N,,24,24,12,27,83,20,16,2,0.9,1,52.9,0.0,0,0.0,0
AL,17/02/2024,Stuttgart,Darmstadt,A,1.6,1.7,2,1, 2-1,V,Rouge 1,,,O,O,2.7,2.5,,O,23,21,4,12,24,8,15,3,2.1,0,60.0,0.03,0,0.06,0
AL,11/02/2024,Stuttgart,Mainz 05,H,1.9,1.4,3,1, 3-1,V,,,,O,O,3.1,3.6,O,,21,35,11,23,40,10,21,8,0.9,0,52.9,0.0,0,0.0,0
AL,3/02/2024,Stuttgart,Freiburg,A,1.7,0.7,3,1, 3-1,V,Rouge 2,O,,O,O,4.5,1.4,O,,33,12,6,10,45,12,18,8,0.6,1,48.8,0.11,0,0.43,1
AL,27/01/2024,Stuttgart,RB Leipzig,H,2.2,0.4,5,2, 5-2,V,,O,,O,O,2.2,0.6,O,,32,26,13,24,39,6,23,7,0.2,0,70.0,0.19,0,0.29,1
AL,20/01/2024,Stuttgart,Bochum,A,1.4,0.9,0,1, 0-1,D,,O,,O,O,3.8,1.0,,N,29,22,4,13,44,18,18,7,0.8,1,56.1,0.06,0,0.06,0
AL,14/01/2024,Stuttgart,Mönchengladbach,A,0.9,1.9,1,3, 1-3,D,,O,,O,O,2.5,2.0,,N,27,23,11,20,63,10,27,9,2.1,0,63.6,0.1,0,0.11,0
AL,20/12/2023,Stuttgart,Augsburg,H,2.6,0.2,3,0, 3-0,V,,,,O,O,3.4,0.6,O,,27,21,10,17,46,16,19,3,0.3,0,44.4,0.07,1,0.05,0
AL,17/12/2023,Stuttgart,Bayern Munich,A,0.4,2.8,0,3, 0-3,D,,,,O,O,1.1,4.1,,N,12,31,10,25,52,8,12,3,2.4,0,26.7,0.16,0,0.09,1
AL,10/12/2023,Stuttgart,Bayer Leverkusen,H,2.6,1.3,1,1, 1-1,N,,,,O,O,3.6,3.2,N,,40,44,8,17,34,8,16,3,1.2,1,36.4,0.03,0,0.06,0
AL,2/12/2023,Stuttgart,Werder Bremen,H,3.5,0.8,2,0, 2-0,V,,,,O,O,4.3,1.3,O,,33,26,12,28,44,13,30,6,0.2,0,26.3,0.13,0,0.03,0
AL,25/11/2023,Stuttgart,Eintracht Frankfurt,A,2.3,0.9,2,1, 2-1,V,,,,O,O,4.1,1.4,O,,19,31,11,25,38,10,18,3,0.0,1,60.0,0.0,0,0.0,0
AL,11/11/2023,Stuttgart,Dortmund,H,4.2,1.0,2,1, 2-1,V,,,,O,O,4.2,1.5,,O,40,23,10,22,50,11,29,9,0.9,0,64.3,0.18,0,0.0,0
AL,5/11/2023,Stuttgart,Heidenheim,A,2.6,1.2,0,2, 0-2,D,,O,,O,O,4.4,1.0,,N,30,29,11,19,51,9,14,3,0.4,2,46.2,0.0,0,0.36,1
AL,28/10/2023,Stuttgart,Hoffenheim,H,3.6,1.7,2,3, 2-3,D,,O,,O,O,3.6,0.8,,N,44,18,17,35,74,11,33,7,2.8,0,50.0,0.22,0,0.0,0
AL,21/10/2023,Stuttgart,Union Berlin,A,1.4,0.6,3,0, 3-0,V,,,,O,O,2.3,1.0,O,,20,19,12,20,50,10,22,4,0.1,0,34.1,0.0,0,0.15,0
AL,7/10/2023,Stuttgart,Wolfsburg,H,2.7,1.2,3,1, 3-1,V,,,,O,O,2.8,1.4,,O,25,22,6,19,48,13,17,3,1.6,0,53.6,0.07,0,0.09,0
