Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,26/05/2024,Torino,Atalanta,A,1.1,2.6,0,3, 0-3,D,,,,,,1.7,2.4,,N,15,21,8,16,38,7,19,1,3.2,1,45.0,0.05,0,0.0,0
IT,18/05/2024,Torino,Milan,H,0.9,1.9,3,1, 3-1,V,,,,,,1.3,1.9,O,,20,27,5,12,21,6,11,1,1.2,0,54.2,0.02,0,0.22,0
IT,12/05/2024,Torino,Verona,A,0.5,1.2,2,1, 2-1,V,Rouge 2,O,,,,1.0,2.0,,O,11,16,6,18,27,4,7,1,1.3,1,45.5,0.09,0,0.0,0
IT,3/05/2024,Torino,Bologna,H,0.7,0.2,0,0, 0-0,N,,,,,,0.3,0.5,,,14,32,3,11,24,3,10,1,0.0,0,59.1,0.04,0,0.05,0
IT,28/04/2024,Torino,Inter,A,0.5,1.7,0,2, 0-2,D,Rouge 1,,,,,1.1,2.0,,N,22,24,7,9,21,6,13,1,1.4,1,35.3,0.0,0,0.0,0
IT,21/04/2024,Torino,Frosinone,H,0.6,0.6,0,0, 0-0,N,,,,,,0.9,1.0,,,24,29,5,19,30,6,13,1,0.4,1,60.5,0.02,0,0.07,0
IT,13/04/2024,Torino,Juventus,H,0.6,1.2,0,0, 0-0,N,,,,,O,1.4,2.0,,,25,17,4,11,33,8,27,2,1.3,0,50.0,0.0,0,0.02,0
IT,6/04/2024,Torino,Empoli,A,2.1,0.5,2,3, 2-3,D,,,,,O,3.3,0.8,,N,36,22,8,19,44,13,22,2,1.6,1,48.5,0.36,1,0.0,0
IT,30/03/2024,Torino,Monza,H,1.6,0.8,1,0, 1-0,V,Rouge 2,,,,O,1.4,1.1,,,27,10,6,12,45,9,23,4,0.5,0,50.0,0.17,0,0.0,0
IT,16/03/2024,Torino,Udinese,A,1.0,0.4,2,0, 2-0,V,,,,,O,2.0,0.4,O,,23,22,5,12,40,11,15,7,0.1,0,47.2,0.0,0,0.02,0
IT,8/03/2024,Torino,Napoli,A,0.9,1.6,1,1, 1-1,N,,,,,O,1.0,2.8,,O,15,19,6,10,18,2,10,0,1.6,1,51.3,0.26,0,0.41,0
IT,2/03/2024,Torino,Fiorentina,H,0.6,0.6,0,0, 0-0,N,Rouge 1,,,,O,0.9,1.5,,,13,13,3,12,14,3,9,3,0.7,0,45.9,0.09,0,0.04,0
IT,26/02/2024,Torino,Roma,A,0.6,1.4,2,3, 2-3,D,,O,,,O,1.1,1.1,N,,25,19,4,9,41,7,22,6,1.8,0,41.2,0.05,0,0.03,0
IT,22/02/2024,Torino,Lazio,H,1.5,0.5,0,2, 0-2,D,Rouge 2,O,,,,2.3,0.8,,N,44,14,15,23,50,18,19,2,0.8,0,55.3,0.07,0,0.0,0
IT,16/02/2024,Torino,Lecce,H,1.2,0.5,2,0, 2-0,V,Rouge 2,O,,,,2.3,0.5,O,,19,20,9,20,37,11,16,2,0.6,1,63.2,0.39,1,0.1,0
IT,10/02/2024,Torino,Sassuolo,A,1.0,0.4,1,1, 1-1,N,,O,,,,2.0,1.1,,O,26,29,9,16,44,5,21,7,1.2,0,61.5,0.02,0,0.06,0
IT,4/02/2024,Torino,Salernitana,H,0.8,0.1,0,0, 0-0,N,,O,,,O,1.6,0.1,,,25,13,4,13,44,7,28,3,0.3,1,50.0,0.15,0,0.01,0
IT,26/01/2024,Torino,Cagliari,A,1.6,2.2,2,1, 2-1,V,,,,,O,2.9,3.1,O,,27,23,9,20,28,9,20,8,2.3,0,51.2,0.04,0,0.55,1
IT,13/01/2024,Torino,Genoa,A,0.4,0.5,0,0, 0-0,N,,,,,,1.3,1.1,,,12,22,7,16,31,4,13,0,1.4,0,55.2,0.33,0,0.2,0
IT,7/01/2024,Torino,Napoli,H,2.1,1.0,3,0, 3-0,V,Rouge 2,,,,,2.7,1.7,O,,17,15,6,13,34,5,15,2,0.5,0,50.0,0.15,1,0.11,0
IT,29/12/2023,Torino,Fiorentina,A,0.3,0.5,0,1, 0-1,D,,,,,,0.7,1.3,,N,11,26,3,10,24,4,12,0,0.7,1,40.8,0.08,0,0.04,0
IT,23/12/2023,Torino,Udinese,H,1.0,0.9,1,1, 1-1,N,,,,O,,1.8,1.5,,O,21,19,4,18,58,10,21,4,0.9,1,54.2,0.49,0,0.12,0
IT,16/12/2023,Torino,Empoli,H,1.1,0.3,1,0, 1-0,V,,,,,,1.4,0.6,O,,17,20,3,9,41,6,15,6,0.1,0,46.8,0.06,0,0.06,0
IT,10/12/2023,Torino,Frosinone,A,1.2,0.8,0,0, 0-0,N,,,,,,1.9,1.3,,,29,30,7,18,43,12,20,2,0.7,1,51.0,0.44,0,0.0,0
IT,4/12/2023,Torino,Atalanta,H,1.7,0.5,3,0, 3-0,V,,,,,,1.6,0.8,O,,17,24,10,20,36,4,20,8,0.4,0,42.3,0.02,0,0.02,0
IT,27/11/2023,Torino,Bologna,A,0.4,1.5,0,2, 0-2,D,,,,,,0.8,1.8,,N,15,24,5,14,29,5,15,0,0.3,0,50.0,0.08,0,0.19,0
IT,11/11/2023,Torino,Monza,A,1.0,0.9,1,1, 1-1,N,,,,,,2.0,1.1,N,,23,26,5,12,46,16,38,5,1.0,1,47.8,0.0,0,0.0,0
IT,6/11/2023,Torino,Sassuolo,H,3.5,0.5,2,1, 2-1,V,,,,,,5.4,1.0,O,,38,26,6,16,56,14,23,8,0.5,1,60.0,0.26,0,0.0,0
IT,28/10/2023,Torino,Lecce,A,0.8,0.5,1,0, 1-0,V,,,,,O,1.6,0.7,O,,17,22,7,15,35,7,19,3,0.9,0,58.3,0.0,0,0.06,0
IT,21/10/2023,Torino,Inter,H,0.4,2.5,0,3, 0-3,D,,O,O,,O,0.6,2.7,,N,11,19,8,11,33,6,26,6,2.6,0,29.6,0.0,0,0.05,0
IT,7/10/2023,Torino,Juventus,A,0.6,1.9,0,2, 0-2,D,,O,,,,1.2,2.1,,N,20,21,3,13,33,11,29,3,1.1,2,40.0,0.06,0,0.56,1
IT,2/10/2023,Torino,Verona,H,0.6,0.3,0,0, 0-0,N,,O,,O,,0.8,0.5,,,13,16,7,22,28,7,16,5,0.1,0,63.3,0.09,0,0.0,0
IT,27/09/2023,Torino,Lazio,A,0.3,0.9,0,2, 0-2,D,,,,,,0.4,1.7,,N,11,22,8,13,28,2,18,4,1.0,0,33.3,0.02,0,0.02,0
IT,24/09/2023,Torino,Roma,H,0.9,1.4,1,1, 1-1,N,,,,,,2.1,2.0,,O,22,25,6,11,33,5,26,4,0.2,0,48.6,0.53,1,0.0,0
IT,18/09/2023,Torino,Salernitana,A,1.8,0.7,3,0, 3-0,V,,,,,O,1.7,1.4,O,,18,22,9,20,32,7,19,3,0.7,0,51.4,0.07,0,0.19,0
IT,3/09/2023,Torino,Genoa,H,0.4,0.2,1,0, 1-0,V,,,,,O,0.8,0.2,O,,13,13,8,17,47,7,29,3,0.2,0,46.2,0.16,0,0.02,0
