Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Tottenham,Sheffield United,A,3.1,1.0,3,0, 3-0,V,,,,,,4.1,1.2,O,,35,20,3,13,58,10,25,9,0.3,0,55.0,0.05,0,0.0,0
UK,14/05/2024,Tottenham,Manchester City,H,1.7,2.4,0,2, 0-2,D,,,,,,1.8,1.9,,N,17,34,8,19,38,6,15,6,2.7,2,55.6,0.08,0,0.0,0
UK,11/05/2024,Tottenham,Burnley,H,2.7,0.7,2,1, 2-1,V,,,,,,3.7,1.1,,O,35,20,7,15,66,15,31,12,0.4,0,47.4,0.15,0,0.04,0
UK,5/05/2024,Tottenham,Liverpool,A,1.2,3.3,2,4, 2-4,D,,,,,,2.0,4.5,,N,20,21,8,25,46,11,25,10,2.9,2,33.3,0.0,0,0.08,0
UK,2/05/2024,Tottenham,Chelsea,A,1.6,2.2,0,2, 0-2,D,,,,,,2.6,1.3,,N,35,26,10,20,80,15,23,8,0.7,0,35.3,0.23,0,0.15,1
UK,28/04/2024,Tottenham,Arsenal,H,2.3,1.0,2,3, 2-3,D,,,,,,2.6,1.8,,N,24,32,11,22,61,12,24,9,1.1,0,40.9,0.36,0,0.44,1
UK,13/04/2024,Tottenham,Newcastle United,A,0.8,2.8,0,4, 0-4,D,,,,,,1.6,3.8,,N,22,23,10,22,32,10,16,6,2.3,2,33.3,0.0,0,0.78,1
UK,7/04/2024,Tottenham,Nottingham Forest,H,1.5,1.5,3,1, 3-1,V,,,,,,2.7,0.8,,O,33,27,5,15,72,13,37,9,1.4,0,68.8,0.02,0,0.0,0
UK,2/04/2024,Tottenham,West Ham,A,1.0,1.5,1,1, 1-1,N,,,,,,2.2,2.2,N,,26,29,7,11,63,16,29,9,1.3,1,68.2,0.0,0,0.45,1
UK,30/03/2024,Tottenham,Luton,H,2.9,0.5,2,1, 2-1,V,,,,,,4.8,1.1,,O,32,28,8,19,54,20,32,12,1.3,0,62.5,0.0,0,0.03,0
UK,16/03/2024,Tottenham,Fulham,A,2.4,2.6,0,3, 0-3,D,,,,,,4.1,2.8,,N,26,20,13,29,53,11,21,8,2.6,0,56.0,0.0,0,0.06,0
