Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
FR,19/05/2024,Toulouse,Brest,H,0.9,1.6,0,3, 0-3,D,,,,O,,1.5,2.4,,N,15,20,9,18,34,6,23,6,1.8,0,38.7,0.2,0,0.02,0
FR,12/05/2024,Toulouse,Paris,A,1.6,2.1,3,1, 3-1,V,,,,,O,2.8,3.4,,O,32,25,8,18,47,8,18,11,1.5,0,43.8,0.18,0,0.02,0
FR,3/05/2024,Toulouse,Montpellier,H,1.3,0.5,1,2, 1-2,D,Rouge 2,,,,,1.9,0.6,,N,26,25,9,23,63,15,22,5,1.2,0,61.5,0.28,0,0.0,0
FR,28/04/2024,Toulouse,Lorient,A,1.8,1.4,2,1, 2-1,V,,O,,,,2.3,1.3,,O,24,29,2,6,38,9,12,3,1.4,0,42.1,0.0,0,0.0,0
FR,21/04/2024,Toulouse,Marseille,H,0.5,1.1,2,2, 2-2,N,,,,,,1.1,1.2,N,,18,33,16,27,33,5,19,6,1.0,0,63.2,0.26,1,0.18,1
FR,13/04/2024,Toulouse,Rennes,A,0.5,1.0,2,1, 2-1,V,,,,O,,1.4,1.9,,O,14,28,9,19,25,6,13,3,1.3,0,33.3,0.1,0,0.08,0
FR,7/04/2024,Toulouse,Strasbourg,H,1.0,0.5,0,0, 0-0,N,,,,,,1.8,0.8,,,22,27,4,13,43,5,16,3,0.1,0,72.2,0.14,0,0.03,0
FR,31/03/2024,Toulouse,Clermont Foot,A,1.8,0.8,3,0, 3-0,V,,,,,,1.5,0.9,O,,19,21,10,20,37,8,15,6,0.9,1,70.8,0.08,0,0.01,0
FR,15/03/2024,Toulouse,Lyon,H,2.4,1.4,2,3, 2-3,D,,,,,,2.9,1.6,,N,25,25,11,24,52,8,20,5,1.0,0,40.7,0.17,0,0.17,1
FR,10/03/2024,Toulouse,Le Havre,A,0.3,1.0,0,1, 0-1,D,,,,,,0.7,1.0,,N,8,11,5,10,35,4,12,3,1.0,1,48.6,0.04,0,0.14,0
FR,3/03/2024,Toulouse,Nice,H,1.8,1.4,2,1, 2-1,V,,,,,,2.5,1.7,,O,30,29,7,17,41,8,18,6,2.9,0,56.3,0.06,0,0.0,0
FR,25/02/2024,Toulouse,Lille,H,2.1,0.6,3,1, 3-1,V,,,,,,2.4,1.5,,O,22,31,6,9,28,6,11,6,0.5,0,43.5,0.32,0,0.0,0
