Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,26/05/2024,Udinese,Frosinone,A,0.7,0.8,1,0, 1-0,V,,,,,,1.1,0.7,O,,15,36,10,16,23,3,15,1,0.5,0,25.0,0.19,0,0.06,0
IT,19/05/2024,Udinese,Empoli,H,1.2,0.8,1,1, 1-1,N,Rouge 2,,,,,1.3,0.1,,,12,26,12,23,27,1,11,5,1.0,0,52.8,0.63,0,0.02,0
IT,13/05/2024,Udinese,Lecce,A,1.4,0.4,2,0, 2-0,V,,,,,,2.0,0.6,O,,29,31,10,20,24,5,14,0,0.2,0,50.0,0.59,0,0.06,0
IT,6/05/2024,Udinese,Napoli,H,0.7,0.8,1,1, 1-1,N,,,,O,,1.0,1.3,N,,18,14,6,12,29,3,11,3,0.8,0,44.4,0.0,0,0.06,0
IT,28/04/2024,Udinese,Bologna,A,0.7,0.7,1,1, 1-1,N,Rouge 2,,,,,0.9,0.9,N,,17,35,11,26,29,4,12,2,0.4,1,62.5,0.26,0,0.0,0
IT,25/04/2024,Udinese,Roma,H,0.6,1.4,1,2, 1-2,D,,,,,,0.7,2.0,N,,16,28,4,10,21,5,13,2,1.4,2,36.4,0.13,0,0.28,1
IT,20/04/2024,Udinese,Verona,A,1.7,0.8,0,1, 0-1,D,,,,,,2.0,1.1,,N,28,16,4,13,25,3,8,1,0.8,0,55.8,0.24,0,0.49,1
IT,8/04/2024,Udinese,Inter,H,0.1,3.3,1,2, 1-2,D,,,,,,0.3,3.5,N,,3,18,3,8,10,3,9,3,2.3,0,60.0,0.0,0,0.23,0
IT,1/04/2024,Udinese,Sassuolo,A,1.5,1.2,1,1, 1-1,N,,,,,,1.3,1.7,,O,21,17,2,11,26,7,12,4,1.4,0,68.8,0.0,0,0.03,0
IT,16/03/2024,Udinese,Torino,H,0.4,1.0,0,2, 0-2,D,,O,,O,,0.4,2.0,,N,16,22,6,15,14,2,13,6,1.7,0,52.8,0.02,0,0.0,0
IT,11/03/2024,Udinese,Lazio,A,1.2,2.2,2,1, 2-1,V,,O,O,,O,1.9,4.3,O,,23,23,7,14,19,4,20,6,1.1,0,58.6,0.03,0,0.09,0
IT,2/03/2024,Udinese,Salernitana,H,1.8,1.1,1,1, 1-1,N,Rouge 1,O,O,,,3.0,1.4,N,,32,21,12,23,51,14,25,4,0.6,0,63.6,0.04,0,0.04,0
IT,24/02/2024,Udinese,Genoa,A,0.3,1.3,0,2, 0-2,D,Rouge 1,,O,,,0.8,2.2,,N,9,25,4,14,19,3,12,2,1.0,0,48.1,0.04,0,0.05,0
IT,18/02/2024,Udinese,Cagliari,H,1.0,0.2,1,1, 1-1,N,,,O,,,1.2,0.5,N,,32,29,11,23,43,8,25,7,0.9,0,50.0,0.13,0,0.0,0
IT,12/02/2024,Udinese,Juventus,A,0.7,1.7,1,0, 1-0,V,,,O,,,0.5,3.5,O,,14,33,6,15,9,1,8,0,1.0,0,57.7,0.15,0,0.05,0
IT,3/02/2024,Udinese,Monza,H,0.9,0.1,0,0, 0-0,N,,,O,,,1.1,0.3,,,32,12,10,22,39,6,25,6,0.2,0,57.9,0.07,0,0.05,0
IT,27/01/2024,Udinese,Atalanta,A,0.6,1.1,0,2, 0-2,D,,,O,,,0.9,2.4,,N,25,32,7,24,27,3,14,4,2.3,0,46.7,0.01,0,0.1,0
IT,20/01/2024,Udinese,Milan,H,0.6,2.6,2,3, 2-3,D,,,O,,,0.8,2.6,,N,17,27,11,25,20,5,17,3,3.0,0,42.9,0.02,0,0.08,0
IT,14/01/2024,Udinese,Fiorentina,A,1.2,1.3,2,2, 2-2,N,,,O,,,1.1,1.2,N,,21,23,19,29,17,5,18,4,1.4,0,64.5,0.05,0,0.0,0
IT,7/01/2024,Udinese,Lazio,H,0.7,0.5,1,2, 1-2,D,,O,O,,,1.3,0.6,,N,22,22,9,19,28,4,11,1,1.1,0,69.0,0.28,1,0.0,0
IT,30/12/2023,Udinese,Bologna,H,1.1,0.9,3,0, 3-0,V,,O,O,,,1.0,1.7,O,,23,30,10,28,22,4,16,4,0.6,0,42.1,0.06,0,0.05,0
IT,23/12/2023,Udinese,Torino,A,0.9,1.0,1,1, 1-1,N,,,O,,,1.5,1.8,N,,17,34,11,17,19,5,14,6,0.7,0,45.8,0.12,0,0.49,0
