Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Union Berlin,Freiburg,H,2.3,1.0,2,1, 2-1,V,,,,,O,1.1,2.0,O,,23,23,12,27,32,8,15,5,0.7,0,59.4,0.08,0,0.05,0
AL,11/05/2024,Union Berlin,Köln,A,1.6,3.1,2,3, 2-3,D,,,,,O,1.5,4.1,N,,21,18,8,15,24,3,11,5,2.1,0,52.0,0.18,1,0.0,0
AL,5/05/2024,Union Berlin,Bochum,H,0.9,1.4,3,4, 3-4,D,,,,,O,2.1,2.2,,N,22,26,8,20,34,7,9,5,2.0,0,36.4,0.14,0,0.13,0
AL,28/04/2024,Union Berlin,Mönchengladbach,A,1.0,0.9,0,0, 0-0,N,,,,,O,1.3,1.5,,,22,26,3,15,53,9,8,1,0.5,0,60.4,0.07,0,0.23,0
AL,20/04/2024,Union Berlin,Bayern Munich,H,1.4,1.4,1,5, 1-5,D,,,,,O,2.3,2.8,,N,27,32,6,12,29,13,16,6,2.1,1,57.1,0.14,0,0.0,0
AL,12/04/2024,Union Berlin,Augsburg,A,1.6,1.6,0,2, 0-2,D,,O,,,O,4.0,1.1,,N,32,18,16,27,56,23,18,4,1.9,1,58.3,0.06,0,0.06,0
AL,6/04/2024,Union Berlin,Bayer Leverkusen,H,0.3,2.8,0,1, 0-1,D,Rouge 1,,,,O,0.7,3.6,,,16,28,5,13,22,1,9,1,3.5,0,31.7,0.08,0,0.13,0
AL,30/03/2024,Union Berlin,Eintracht Frankfurt,A,1.5,1.0,0,0, 0-0,N,,,,,O,1.6,2.6,,,15,40,10,23,25,5,12,4,0.3,0,63.0,0.07,0,0.0,0
AL,16/03/2024,Union Berlin,Werder Bremen,H,1.1,1.1,2,1, 2-1,V,,,,,O,1.4,1.6,O,,20,30,7,20,35,4,17,5,0.4,1,50.0,0.08,0,0.44,1
AL,8/03/2024,Union Berlin,Stuttgart,A,0.9,1.0,0,2, 0-2,D,Rouge 1,,,,O,1.0,1.9,,N,11,34,5,13,15,3,5,2,2.9,0,77.8,0.12,0,0.0,0
AL,2/03/2024,Union Berlin,Dortmund,H,1.2,1.6,0,2, 0-2,D,,O,,,O,1.2,1.8,,N,22,35,9,17,31,3,18,9,1.2,1,48.4,0.03,0,0.02,0
AL,24/02/2024,Union Berlin,Heidenheim,H,1.1,1.1,2,2, 2-2,N,,,,O,O,1.7,0.7,,O,19,19,11,17,42,7,17,3,1.1,1,46.7,0.22,0,0.06,0
AL,17/02/2024,Union Berlin,Hoffenheim,A,1.4,1.0,1,0, 1-0,V,Rouge 2,,,,O,1.6,2.3,O,,14,25,2,8,23,6,14,4,0.5,1,45.2,0.01,0,0.04,0
AL,10/02/2024,Union Berlin,Wolfsburg,H,0.5,1.3,1,0, 1-0,V,,,,,O,1.2,2.5,O,,13,25,0,7,16,4,10,1,0.7,0,37.5,0.09,1,0.15,0
AL,7/02/2024,Union Berlin,Mainz 05,A,1.0,1.3,1,1, 1-1,N,,,,,O,1.7,1.0,,,25,21,5,16,24,9,7,0,1.3,1,48.9,0.02,0,0.37,1
