Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,26/05/2024,Valencia,Celta Vigo,A,2.0,1.5,2,2, 2-2,N,,O,O,,O,2.4,0.7,,O,22,31,13,19,38,7,20,8,2.3,1,61.5,0.0,0,0.0,0
ES,19/05/2024,Valencia,Girona,H,3.2,2.6,1,3, 1-3,D,,O,O,,,3.2,3.2,,N,33,23,4,16,34,6,20,12,2.2,0,29.4,0.02,0,0.09,0
ES,16/05/2024,Valencia,Real Sociedad,A,0.8,1.3,0,1, 0-1,D,,O,,,O,0.5,2.0,,N,13,15,4,14,24,6,10,3,2.0,0,31.0,0.06,0,0.07,0
ES,12/05/2024,Valencia,Rayo Vallecano,H,1.3,0.6,0,0, 0-0,N,,O,O,,,2.2,1.2,,,24,32,9,20,37,9,18,7,0.1,0,46.2,0.08,0,0.11,0
ES,5/05/2024,Valencia,Alaves,H,0.9,0.8,0,1, 0-1,D,,O,O,,,1.5,1.4,,N,23,23,9,23,39,12,16,3,0.5,0,52.9,0.01,0,0.11,1
ES,29/04/2024,Valencia,Barcelona,A,2.1,2.2,2,4, 2-4,D,Rouge 1,O,O,,,0.8,2.8,,N,9,26,5,14,8,1,8,4,1.4,1,33.3,0.0,0,0.45,1
ES,20/04/2024,Valencia,Real Betis,H,1.1,1.3,1,2, 1-2,D,,O,O,,,0.9,1.0,,N,15,28,8,20,46,12,16,3,1.4,0,50.0,0.06,0,0.3,0
ES,15/04/2024,Valencia,Osasuna,A,0.2,1.9,1,0, 1-0,V,,O,O,O,,0.5,2.3,O,,7,23,5,13,13,1,9,3,1.1,0,40.9,0.0,0,0.04,0
ES,4/04/2024,Valencia,Granada,A,0.4,0.6,1,0, 1-0,V,,O,O,,,0.4,1.5,O,,11,18,4,11,18,4,8,2,0.2,0,45.2,0.03,0,0.05,0
ES,30/03/2024,Valencia,Mallorca,H,1.5,0.9,0,0, 0-0,N,,O,O,,,1.7,1.4,,,25,24,8,21,31,8,17,3,0.2,0,44.7,0.07,0,0.1,0
