Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
IT,26/05/2024,Verona,Inter,H,1.7,2.4,2,2, 2-2,N,,,O,O,O,2.4,2.4,,O,30,20,4,11,30,10,14,4,2.7,1,23.1,0.19,0,0.03,0
IT,20/05/2024,Verona,Salernitana,A,2.1,0.6,2,1, 2-1,V,,,O,O,O,3.5,0.2,O,,33,25,9,17,30,12,19,5,0.4,0,59.5,0.06,0,0.06,0
IT,12/05/2024,Verona,Torino,H,1.2,0.5,1,2, 1-2,D,Rouge 1,,O,O,O,2.0,1.0,N,,23,33,5,15,31,8,10,3,1.0,0,54.5,0.0,0,0.09,0
IT,5/05/2024,Verona,Fiorentina,H,1.9,0.9,2,1, 2-1,V,,,O,O,O,1.2,1.3,,O,13,26,2,9,29,3,15,3,0.7,0,37.5,0.0,0,0.0,0
IT,27/04/2024,Verona,Lazio,A,0.6,1.1,0,1, 0-1,D,,,O,O,O,1.1,1.7,,N,14,32,3,11,20,7,7,1,1.5,0,37.1,0.0,0,0.06,0
IT,20/04/2024,Verona,Udinese,H,0.8,1.7,1,0, 1-0,V,,,O,O,O,1.1,2.0,O,,30,22,6,15,22,7,10,3,0.1,0,44.2,0.49,1,0.24,0
IT,15/04/2024,Verona,Atalanta,A,1.5,1.5,2,2, 2-2,N,,,O,O,O,2.5,2.3,,O,22,21,5,19,33,5,6,2,2.2,0,54.0,0.31,0,0.18,0
IT,7/04/2024,Verona,Genoa,H,1.3,2.2,1,2, 1-2,D,,,O,O,O,2.7,1.3,N,,24,25,10,18,58,12,21,4,1.9,0,55.6,0.04,0,0.14,0
IT,1/04/2024,Verona,Cagliari,A,1.4,0.6,1,1, 1-1,N,,,O,O,O,2.0,1.1,N,,15,33,5,15,26,4,17,4,0.5,0,54.3,0.0,0,0.0,0
IT,17/03/2024,Verona,Milan,H,0.5,2.7,1,3, 1-3,D,,,O,O,O,0.7,2.4,,N,28,35,9,18,37,8,17,4,1.9,1,50.0,0.0,0,0.49,0
IT,10/03/2024,Verona,Lecce,A,0.6,1.0,1,0, 1-0,V,,,O,O,O,0.9,1.3,O,,22,22,3,10,23,3,6,2,0.2,2,51.1,0.05,0,0.25,0
IT,3/03/2024,Verona,Sassuolo,H,0.4,0.5,1,0, 1-0,V,,,O,O,O,0.6,0.5,O,,17,20,9,16,23,6,10,1,0.1,0,55.6,0.0,0,0.0,0
IT,23/02/2024,Verona,Bologna,A,0.6,1.6,0,2, 0-2,D,,,O,O,O,0.5,2.5,,N,12,23,9,20,26,3,10,3,1.2,0,51.6,0.14,0,0.05,0
IT,17/02/2024,Verona,Juventus,H,0.6,1.8,2,2, 2-2,N,,,O,O,O,0.9,2.0,N,,23,24,8,14,40,3,24,2,1.5,1,52.4,0.15,0,0.13,0
IT,11/02/2024,Verona,Monza,A,0.7,0.7,0,0, 0-0,N,,,O,O,O,1.0,0.5,,,18,16,2,8,31,6,17,3,0.0,0,62.9,0.2,0,0.06,0
IT,4/02/2024,Verona,Napoli,A,0.9,1.2,1,2, 1-2,D,,,O,O,O,1.5,2.2,N,,17,34,6,16,24,5,11,3,1.4,1,57.1,0.44,1,0.04,0
IT,28/01/2024,Verona,Frosinone,H,2.2,1.2,1,1, 1-1,N,,,O,O,O,1.0,2.2,,O,25,20,4,13,32,5,18,4,1.2,0,60.5,0.0,0,0.11,0
IT,20/01/2024,Verona,Roma,A,1.1,0.9,1,2, 1-2,D,,O,,O,O,0.8,1.8,,N,22,21,17,29,39,7,27,1,1.5,0,64.7,0.02,0,0.0,0
IT,13/01/2024,Verona,Empoli,H,0.8,0.8,2,1, 2-1,V,,O,,,O,1.3,1.2,O,,20,25,10,25,30,7,22,8,0.4,1,88.9,0.37,2,0.1,0
IT,6/01/2024,Verona,Inter,A,1.3,1.9,1,2, 1-2,D,,O,,,O,1.2,2.1,,N,14,19,4,7,28,7,17,4,2.1,0,53.8,0.0,0,0.26,0
IT,30/12/2023,Verona,Salernitana,H,0.8,0.5,0,1, 0-1,D,,O,,,,1.4,1.0,,N,22,36,13,20,33,5,23,6,1.0,0,57.5,0.28,0,0.04,0
IT,23/12/2023,Verona,Cagliari,H,0.9,0.8,2,0, 2-0,V,Rouge 2,O,,,,1.6,1.4,O,,26,19,8,13,44,7,27,8,0.2,0,63.8,0.02,0,0.24,0
IT,17/12/2023,Verona,Fiorentina,A,2.5,0.5,0,1, 0-1,D,,O,,,,1.5,1.1,,N,24,30,9,18,12,3,8,2,0.5,1,66.7,0.24,0,0.0,0
IT,9/12/2023,Verona,Lazio,H,1.0,1.0,1,1, 1-1,N,Rouge 1,O,,,,1.0,1.9,,O,9,26,6,16,12,1,9,0,1.6,2,43.5,0.02,0,0.22,0
IT,3/12/2023,Verona,Udinese,A,1.3,1.9,3,3, 3-3,N,,O,,,,1.1,2.8,,O,23,28,9,26,43,8,18,4,2.1,1,50.0,0.1,0,0.74,1
IT,27/11/2023,Verona,Lecce,H,1.7,1.0,2,2, 2-2,N,,O,,,,2.3,1.5,,O,32,20,9,16,33,7,10,2,1.0,0,68.0,0.28,1,0.0,0
IT,10/11/2023,Verona,Genoa,A,0.2,1.6,0,1, 0-1,D,,O,,,,0.5,2.2,,N,10,16,5,14,28,2,6,1,0.8,1,63.9,0.17,0,0.09,0
IT,5/11/2023,Verona,Monza,H,1.0,0.9,1,3, 1-3,D,,O,,,,1.9,1.1,,N,27,18,4,8,31,9,19,2,1.3,0,57.9,0.0,0,0.21,1
IT,28/10/2023,Verona,Juventus,A,0.3,3.3,0,1, 0-1,D,,O,,O,,0.6,4.2,,N,13,25,3,10,19,3,12,3,1.7,0,51.9,0.06,0,0.05,0
IT,21/10/2023,Verona,Napoli,H,1.3,2.3,1,3, 1-3,D,,O,,,,1.7,3.3,,N,30,20,18,25,34,7,19,3,2.8,0,80.8,0.28,0,0.15,0
IT,8/10/2023,Verona,Frosinone,A,0.8,1.8,1,2, 1-2,D,,O,,,,1.5,2.1,,N,30,21,5,10,34,10,15,3,0.6,3,53.1,0.1,0,0.46,0
IT,2/10/2023,Verona,Torino,A,0.3,0.6,0,0, 0-0,N,,O,,,,0.5,0.8,,,10,34,4,10,19,3,11,2,0.8,0,36.7,0.0,0,0.09,0
IT,27/09/2023,Verona,Atalanta,H,0.5,1.2,0,1, 0-1,D,,O,O,,,0.8,2.0,,N,18,21,4,14,39,4,6,1,0.8,0,38.6,0.25,0,0.08,0
IT,23/09/2023,Verona,Milan,A,0.6,0.9,0,1, 0-1,D,,O,O,,,1.3,1.3,,N,18,27,4,12,30,6,7,2,1.0,0,50.0,0.24,0,0.04,0
IT,18/09/2023,Verona,Bologna,H,0.4,0.6,0,0, 0-0,N,,O,,,,0.7,1.2,,,16,19,6,9,30,4,14,3,0.6,0,39.3,0.11,0,0.0,0
IT,1/09/2023,Verona,Sassuolo,A,0.6,1.7,1,3, 1-3,D,,O,O,,O,1.0,1.9,,N,21,19,5,11,31,3,14,3,2.6,0,54.3,0.05,0,0.08,0
IT,26/08/2023,Verona,Roma,H,0.7,1.5,2,1, 2-1,V,,O,,,,0.3,1.9,O,,9,17,6,15,17,2,7,1,1.4,0,46.0,0.02,0,0.09,0
IT,19/08/2023,Verona,Empoli,A,0.5,0.7,1,0, 1-0,V,,O,,,,1.1,0.6,O,,17,31,4,14,21,4,16,3,0.3,0,72.5,0.03,0,0.03,0
