Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
ES,25/05/2024,Villarreal,Osasuna,A,1.6,0.9,1,1, 1-1,N,,O,O,O,,2.3,1.6,,O,19,15,7,13,43,7,21,5,1.1,0,58.3,0.54,0,0.03,0
ES,19/05/2024,Villarreal,Real Madrid,H,1.7,1.0,4,4, 4-4,N,,,,O,O,2.4,2.3,,O,37,30,13,24,60,19,14,10,1.9,0,71.4,0.09,0,0.02,0
ES,14/05/2024,Villarreal,Girona,A,0.6,1.6,1,0, 1-0,V,,,O,O,,0.5,3.0,O,,21,29,6,17,27,7,18,5,0.5,0,40.0,0.0,0,0.29,0
ES,11/05/2024,Villarreal,Sevilla,H,3.1,1.7,3,2, 3-2,V,,,O,O,,5.8,2.0,O,,46,15,9,21,77,22,24,5,2.2,0,52.2,0.09,0,0.09,0
ES,5/05/2024,Villarreal,Celta Vigo,A,0.6,3.9,2,3, 2-3,D,Rouge 1,,,O,,1.1,5.5,N,,20,15,12,19,34,9,16,3,2.5,0,50.0,0.0,0,0.0,0
ES,28/04/2024,Villarreal,Rayo Vallecano,H,1.4,1.0,3,0, 3-0,V,,,,O,,2.0,0.8,O,,27,25,12,19,36,6,25,8,0.4,0,62.5,0.07,1,0.08,0
ES,21/04/2024,Villarreal,Almeria,A,1.6,1.8,2,1, 2-1,V,,,,O,,3.1,2.4,O,,22,18,6,11,31,7,27,9,1.2,0,55.0,0.14,0,0.09,0
ES,14/04/2024,Villarreal,Athletic Club,A,2.1,0.7,1,1, 1-1,N,Rouge 1,,,O,,1.6,1.4,,O,19,28,9,15,42,13,20,4,2.0,0,61.5,0.0,0,0.01,0
ES,1/04/2024,Villarreal,Atletico Madrid,H,0.8,1.3,1,2, 1-2,D,,,,O,,1.7,2.5,,N,22,28,10,22,63,11,13,5,1.9,0,50.0,0.31,0,0.09,1
ES,17/03/2024,Villarreal,Valencia,H,2.0,1.1,1,0, 1-0,V,,,,O,,2.2,1.7,O,,23,17,8,16,36,6,16,6,0.8,0,67.7,0.22,0,0.13,0
C3,14/03/2024,Villarreal,Marseille,H,1.9,1.6,3,1, 3-1,V,,,,O,,3.2,2.5,O,,44,20,7,18,65,13,23,8,1.2,0,59.3,0.66,1,0.31,0
ES,10/03/2024,Villarreal,Real Betis,A,1.4,1.0,3,2, 3-2,V,Rouge 2,,,O,,2.9,1.3,,O,12,26,7,17,37,7,16,1,1.5,0,48.0,0.2,0,0.03,0
C3,7/03/2024,Villarreal,Marseille,A,0.3,3.0,0,4, 0-4,D,Rouge 1,O,,O,,0.5,2.6,,N,8,13,4,16,20,2,12,3,4.3,0,40.0,0.08,0,0.36,0
ES,3/03/2024,Villarreal,Granada,H,2.0,0.5,5,1, 5-1,V,,,,O,,3.0,1.0,O,,27,25,6,15,31,6,22,2,0.8,1,50.0,0.38,2,0.0,0
