Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Werder Bremen,Bochum,H,3.0,2.1,4,1, 4-1,V,,,,,,4.8,3.1,O,,44,30,4,18,41,14,19,7,1.4,0,44.2,0.54,1,0.52,0
AL,11/05/2024,Werder Bremen,RB Leipzig,A,1.1,1.4,1,1, 1-1,N,,,,,,2.1,2.7,,O,19,30,5,14,37,11,12,2,1.6,0,28.0,0.22,0,0.0,0
AL,4/05/2024,Werder Bremen,Mönchengladbach,H,1.4,1.9,2,2, 2-2,N,,,,,O,2.5,2.2,,O,31,20,3,10,58,15,22,2,2.7,0,25.0,0.41,1,0.06,0
AL,27/04/2024,Werder Bremen,Augsburg,A,2.0,0.6,3,0, 3-0,V,,,,,O,2.6,1.1,O,,27,23,12,19,34,13,19,2,0.1,1,35.1,0.35,1,0.25,0
AL,21/04/2024,Werder Bremen,Stuttgart,H,1.5,2.2,2,1, 2-1,V,,,,,O,1.1,5.0,O,,18,34,13,28,27,4,16,5,1.3,0,39.1,0.0,0,0.15,0
AL,14/04/2024,Werder Bremen,Bayer Leverkusen,A,0.7,3.2,0,5, 0-5,D,,,,O,O,1.3,3.4,,N,7,27,5,14,31,4,10,3,5.1,0,20.0,0.0,0,0.21,0
AL,5/04/2024,Werder Bremen,Eintracht Frankfurt,A,1.6,2.1,1,1, 1-1,N,Rouge 1,,,,,1.7,4.8,N,,18,33,11,22,16,3,10,3,0.9,0,34.5,0.29,0,0.41,0
AL,30/03/2024,Werder Bremen,Wolfsburg,H,0.5,2.3,0,2, 0-2,D,Rouge 2,O,,,O,1.0,4.3,,N,10,24,6,15,32,5,10,1,2.0,1,30.0,0.0,0,0.26,0
AL,16/03/2024,Werder Bremen,Union Berlin,A,1.1,1.1,1,2, 1-2,D,,,,O,,1.6,1.4,,N,21,32,6,12,27,5,14,5,2.2,0,50.0,0.44,1,0.08,0
AL,9/03/2024,Werder Bremen,Dortmund,H,1.8,1.2,1,2, 1-2,D,Rouge 2,,,O,,2.8,1.6,,N,29,27,5,16,54,7,17,4,1.6,0,47.8,0.25,0,0.06,0
AL,3/03/2024,Werder Bremen,Hoffenheim,A,1.3,1.7,1,2, 1-2,D,Rouge 2,,,O,,2.1,3.3,,N,33,26,8,16,39,10,17,3,1.6,0,65.6,0.06,0,0.04,1
AL,24/02/2024,Werder Bremen,Darmstadt,H,1.8,1.0,1,1, 1-1,N,,,,O,,3.3,1.7,,O,27,30,10,21,43,14,21,4,0.5,0,35.3,0.17,0,0.38,0
AL,16/02/2024,Werder Bremen,Köln,A,1.8,0.8,1,0, 1-0,V,,,,,,3.2,0.8,O,,23,38,8,21,28,12,9,2,0.2,0,62.5,0.0,0,0.0,0
AL,10/02/2024,Werder Bremen,Heidenheim,H,1.7,1.8,1,2, 1-2,D,,O,,,,2.9,2.0,,N,23,24,10,19,56,9,22,4,1.2,0,36.6,0.16,0,0.25,1
AL,3/02/2024,Werder Bremen,Mainz 05,A,0.6,0.8,1,0, 1-0,V,,O,,,,1.2,1.5,O,,12,29,6,13,24,8,10,2,1.1,0,51.0,0.0,0,0.21,0
AL,27/01/2024,Werder Bremen,Freiburg,H,2.5,1.2,3,1, 3-1,V,,O,,,,1.4,1.2,O,,18,19,6,13,26,6,18,6,2.0,0,50.0,0.0,0,0.09,0
AL,21/01/2024,Werder Bremen,Bayern Munich,A,0.4,1.9,1,0, 1-0,V,,,O,,,0.9,3.7,O,,16,32,16,24,20,5,22,4,1.3,0,44.0,0.03,0,0.4,0
AL,14/01/2024,Werder Bremen,Bochum,A,0.8,0.7,1,1, 1-1,N,,,,,,1.5,0.9,,O,26,23,9,17,32,8,13,4,2.1,0,52.6,0.22,0,0.01,0
AL,19/12/2023,Werder Bremen,RB Leipzig,H,1.5,1.7,1,1, 1-1,N,,,,,,2.4,2.4,,O,18,22,9,22,37,7,19,4,2.0,1,38.1,0.0,0,0.0,0
AL,15/12/2023,Werder Bremen,Mönchengladbach,A,1.6,1.4,2,2, 2-2,N,,,,O,,2.6,2.2,N,,23,27,8,16,38,9,14,3,1.7,0,53.1,0.04,0,0.0,0
AL,9/12/2023,Werder Bremen,Augsburg,H,1.5,0.7,2,0, 2-0,V,,,,O,,2.5,1.2,O,,25,26,7,17,34,8,15,3,0.0,1,42.4,0.19,1,0.0,0
AL,2/12/2023,Werder Bremen,Stuttgart,A,0.8,3.5,0,2, 0-2,D,,,,,,1.3,4.3,,N,20,27,6,15,36,8,10,3,2.7,1,73.7,0.03,0,0.13,0
AL,25/11/2023,Werder Bremen,Bayer Leverkusen,H,0.2,1.0,0,3, 0-3,D,,,,,,1.0,1.7,,N,3,26,2,8,38,10,11,2,1.2,1,72.7,0.04,0,0.07,0
AL,12/11/2023,Werder Bremen,Eintracht Frankfurt,H,1.5,2.0,2,2, 2-2,N,,,,,,1.6,3.2,N,,20,18,9,20,35,4,13,4,1.3,0,62.5,0.03,0,0.38,1
AL,5/11/2023,Werder Bremen,Wolfsburg,A,1.2,1.6,2,2, 2-2,N,,,,,,2.7,4.1,N,,22,26,4,13,23,10,14,5,1.3,0,61.9,0.0,0,0.05,0
AL,28/10/2023,Werder Bremen,Union Berlin,H,0.8,0.6,2,0, 2-0,V,Rouge 2,,,,,1.2,1.1,O,,19,13,5,13,39,6,17,3,0.2,0,60.0,0.0,0,0.0,0
AL,20/10/2023,Werder Bremen,Dortmund,A,0.4,2.6,0,1, 0-1,D,,,,,,0.7,4.7,,N,8,27,6,12,21,3,12,1,1.7,1,57.7,0.05,0,0.27,0
AL,7/10/2023,Werder Bremen,Hoffenheim,H,0.8,1.9,2,3, 2-3,D,,,,,,1.8,3.0,,N,24,29,7,14,45,10,13,1,1.5,0,51.2,0.0,0,0.0,0
AL,1/10/2023,Werder Bremen,Darmstadt,A,1.5,2.4,2,4, 2-4,D,,,,O,,2.8,2.7,,N,19,16,10,21,43,7,14,2,2.6,1,45.0,0.0,0,0.23,0
AL,23/09/2023,Werder Bremen,Köln,H,2.1,1.3,2,1, 2-1,V,,,,O,,3.8,1.7,,O,33,24,12,24,35,11,10,1,1.2,0,54.5,0.03,0,0.48,0
AL,17/09/2023,Werder Bremen,Heidenheim,A,3.0,2.2,2,4, 2-4,D,,,,,,4.2,1.8,,N,20,26,12,20,32,8,16,6,2.2,0,34.0,0.0,0,0.15,0
AL,2/09/2023,Werder Bremen,Mainz 05,H,2.7,0.5,4,0, 4-0,V,,,,,,4.5,1.6,O,,26,29,6,15,32,10,12,3,0.7,0,50.9,0.16,0,0.02,0
AL,26/08/2023,Werder Bremen,Freiburg,A,1.0,2.4,0,1, 0-1,D,,,,,,2.0,2.4,,N,28,19,4,8,34,9,14,3,2.0,1,47.9,0.25,0,0.37,0
AL,18/08/2023,Werder Bremen,Bayern Munich,H,0.6,2.8,0,4, 0-4,D,,,,,,0.8,5.1,,N,11,32,3,6,25,3,7,1,2.9,0,46.9,0.0,0,0.22,0
