Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
AL,18/05/2024,Wolfsburg,Mainz 05,H,0.8,1.8,1,3, 1-3,D,,,,,O,2.2,2.1,N,,23,25,2,12,35,7,14,2,2.7,1,53.2,0.26,0,0.28,0
AL,12/05/2024,Wolfsburg,Bayern Munich,A,0.2,0.3,0,2, 0-2,D,,,,,,0.4,1.3,,N,8,34,6,13,39,4,10,3,0.5,0,50.0,0.0,0,0.03,0
AL,4/05/2024,Wolfsburg,Darmstadt,H,2.2,0.4,3,0, 3-0,V,,,,,,2.9,0.8,O,,38,12,5,13,39,13,14,4,0.2,0,68.8,0.25,0,0.0,0
AL,27/04/2024,Wolfsburg,Freiburg,A,0.5,2.2,2,1, 2-1,V,Rouge 2,,,,,1.1,1.7,O,,19,16,1,6,32,4,15,4,0.6,0,37.5,0.0,0,0.0,0
AL,20/04/2024,Wolfsburg,Bochum,H,0.8,1.3,1,0, 1-0,V,,,,,O,1.3,2.1,O,,13,19,4,11,25,5,7,3,0.2,0,46.9,0.07,0,0.74,0
AL,13/04/2024,Wolfsburg,RB Leipzig,A,0.4,1.3,0,3, 0-3,D,,O,,O,,1.2,1.7,,N,14,33,2,9,38,7,11,1,1.9,0,45.5,0.0,0,0.29,0
AL,7/04/2024,Wolfsburg,Mönchengladbach,H,1.2,1.1,1,3, 1-3,D,,,,O,,2.6,1.8,N,,25,24,8,16,57,14,20,4,1.7,0,50.0,0.09,0,0.14,0
AL,30/03/2024,Wolfsburg,Werder Bremen,A,2.3,0.5,2,0, 2-0,V,Rouge 2,O,,,,4.3,1.0,O,,27,23,4,12,34,9,21,6,0.3,0,70.0,0.26,0,0.0,0
AL,16/03/2024,Wolfsburg,Augsburg,H,1.3,0.7,1,3, 1-3,D,Rouge 1,,,,,3.0,2.5,N,,26,19,6,12,35,11,19,2,1.1,0,66.7,0.32,0,0.05,0
AL,10/03/2024,Wolfsburg,Bayer Leverkusen,A,0.2,2.1,0,2, 0-2,D,Rouge 1,,,,O,1.2,5.3,,N,4,20,3,7,12,5,2,1,2.9,0,35.7,0.0,0,0.07,0
AL,2/03/2024,Wolfsburg,Stuttgart,H,0.8,1.1,2,3, 2-3,D,,,,,,1.3,0.7,,N,20,22,9,21,33,3,8,5,1.6,0,47.4,0.18,0,0.0,0
