Ligue,Date,Equipe,Equipe adverse,Home / Away,XG1,XG2,G1,G2,Score,Resultat,Fait marquant,Absence 1,Absence 2,Absence 3,Absence 4,XA1,XA2,Garde score,Revenu score,AMT,TCL,Dribbles tentés,Dribbles réussis,Prog passes,Passes surface,Prog drib,Possession surface,PSXG,Erreurs,Aerien win,xg1_dead,g1_dead,xg2_dead,g2_dead
UK,19/05/2024,Wolves,Liverpool,A,0.5,4.5,0,2, 0-2,D,Rouge 1,O,,,,0.7,5.8,,N,8,26,15,27,15,3,14,6,5.1,1,22.2,0.05,0,0.39,0
UK,11/05/2024,Wolves,Crystal Palace,H,1.6,2.6,1,3, 1-3,D,,O,,,,1.0,3.3,,N,26,31,9,23,45,6,16,2,1.6,0,41.2,0.13,0,0.0,0
UK,4/05/2024,Wolves,Manchester City,A,0.3,3.7,1,5, 1-5,D,,O,,,,0.5,4.1,,N,3,27,11,19,24,1,9,1,5.1,0,10.0,0.0,0,0.33,0
UK,27/04/2024,Wolves,Luton,H,1.2,0.6,2,1, 2-1,V,,O,,,,1.7,1.0,O,,22,27,10,21,25,3,14,6,1.0,0,47.6,0.03,0,0.06,0
UK,24/04/2024,Wolves,Bournemouth,H,0.5,1.9,0,1, 0-1,D,Rouge 2,O,,,,1.5,1.9,,N,28,21,10,13,33,7,13,8,1.7,0,52.3,0.07,0,0.22,0
UK,20/04/2024,Wolves,Arsenal,H,0.2,1.2,0,2, 0-2,D,,O,O,,,0.1,1.8,,N,6,24,4,9,26,2,9,1,1.5,0,31.3,0.0,0,0.02,0
UK,13/04/2024,Wolves,Nottingham Forest,A,1.0,1.9,2,2, 2-2,N,,O,,,,0.7,1.5,,O,16,22,5,12,22,4,14,2,2.2,2,35.5,0.02,0,0.25,1
UK,6/04/2024,Wolves,West Ham,H,1.5,1.2,1,2, 1-2,D,,O,,O,,1.7,0.9,,N,24,42,9,22,29,9,13,2,1.9,0,35.0,0.0,0,0.0,0
UK,2/04/2024,Wolves,Burnley,A,0.9,1.3,1,1, 1-1,N,,O,O,O,,1.3,2.4,,O,13,25,12,18,21,4,21,6,2.0,0,46.2,0.14,1,0.04,0
UK,30/03/2024,Wolves,Aston Villa,A,1.5,1.0,0,2, 0-2,D,,O,O,O,,1.2,1.6,,N,22,28,8,20,27,10,18,2,0.7,1,57.9,0.07,0,0.07,1
UK,9/03/2024,Wolves,Fulham,H,0.8,2.6,2,1, 2-1,V,,,O,O,,1.6,4.1,O,,15,15,10,20,39,5,19,5,2.3,0,42.9,0.01,0,0.02,0
UK,2/03/2024,Wolves,Newcastle United,A,0.8,2.1,0,3, 0-3,D,,,O,O,,1.1,2.4,,N,22,19,14,23,41,10,14,3,1.7,1,27.3,0.03,0,0.15,0
UK,25/02/2024,Wolves,Sheffield United,H,1.3,0.6,1,0, 1-0,V,,,O,,,1.6,0.9,O,,25,27,8,19,41,9,22,7,0.3,0,50.0,0.16,0,0.02,0
UK,17/02/2024,Wolves,Tottenham,A,1.8,1.6,2,1, 2-1,V,,,O,,,1.7,3.1,O,,20,27,7,20,26,5,11,4,1.4,0,38.1,0.12,1,0.28,0
UK,10/02/2024,Wolves,Brentford,H,1.0,1.9,0,2, 0-2,D,,,O,O,,2.1,2.6,,N,32,26,18,32,58,7,40,3,1.9,1,40.0,0.16,0,0.7,1
UK,4/02/2024,Wolves,Chelsea,A,2.0,1.7,4,2, 4-2,V,,,,O,,1.3,2.7,,O,22,26,8,22,13,3,17,7,2.1,0,45.0,0.12,0,0.14,1
UK,1/02/2024,Wolves,Manchester United,H,2.1,3.3,3,4, 3-4,D,,,,O,,1.7,3.3,,N,30,28,13,26,53,13,31,5,3.4,1,64.7,0.14,0,0.47,1
UK,22/01/2024,Wolves,Brighton,A,1.1,1.0,0,0, 0-0,N,,,,O,,1.3,2.8,,,13,33,5,10,19,4,14,4,1.0,0,26.7,0.0,0,0.38,0
UK,30/12/2023,Wolves,Everton,H,1.9,0.4,3,0, 3-0,V,,O,,,O,2.9,0.7,O,,22,28,11,27,44,14,21,7,0.0,0,42.1,0.03,0,0.0,0
UK,27/12/2023,Wolves,Brentford,A,2.4,2.2,4,1, 4-1,V,,O,,,,2.2,5.1,O,,19,34,17,27,26,8,17,7,2.2,0,48.8,0.0,0,0.58,0
UK,24/12/2023,Wolves,Chelsea,H,1.3,2.0,2,1, 2-1,V,,O,,,,1.2,2.8,O,,19,34,7,14,25,6,13,2,1.4,2,50.0,0.15,1,0.0,0
UK,17/12/2023,Wolves,West Ham,A,0.7,1.1,0,3, 0-3,D,,O,,,,1.4,1.5,,N,25,27,8,15,49,7,22,3,1.5,0,41.7,0.22,0,0.07,0
UK,9/12/2023,Wolves,Nottingham Forest,H,1.2,1.3,1,1, 1-1,N,,O,,,,1.6,1.9,,O,18,16,11,21,44,5,19,2,0.3,1,34.3,0.08,0,0.12,0
UK,5/12/2023,Wolves,Burnley,H,0.8,0.9,1,0, 1-0,V,,O,,,,1.6,1.0,O,,14,22,7,23,28,6,15,4,0.3,1,55.9,0.42,0,0.04,0
UK,2/12/2023,Wolves,Arsenal,A,0.7,2.8,1,2, 1-2,D,,O,,,O,1.2,4.5,,N,10,26,9,18,17,4,12,3,0.6,2,55.0,0.18,0,0.24,0
UK,27/11/2023,Wolves,Fulham,A,1.4,2.9,2,3, 2-3,D,,O,,,,1.1,2.4,,N,15,15,5,14,17,3,13,3,3.4,0,35.3,0.01,0,0.0,0
UK,11/11/2023,Wolves,Tottenham,H,2.1,0.7,2,1, 2-1,V,,O,,,,2.5,1.6,O,,28,33,21,36,37,7,22,4,1.4,0,52.6,0.21,0,0.06,0
UK,4/11/2023,Wolves,Sheffield United,A,1.2,1.0,1,2, 1-2,D,,O,,,,2.2,0.6,,N,19,19,8,24,25,6,16,5,1.2,0,73.5,0.28,0,0.0,0
UK,28/10/2023,Wolves,Newcastle United,H,0.9,2.2,2,2, 2-2,N,,,,,,1.2,1.4,,O,18,40,22,32,36,6,19,6,1.9,1,75.0,0.07,1,0.0,0
UK,21/10/2023,Wolves,Bournemouth,A,2.4,0.6,2,1, 2-1,V,Rouge 2,,,,O,3.5,1.3,,O,37,38,9,22,46,16,24,7,1.2,0,72.4,0.26,0,0.0,0
UK,8/10/2023,Wolves,Aston Villa,H,1.7,1.6,1,1, 1-1,N,Rouge 1,,,,,2.1,2.3,N,,13,18,9,13,23,4,20,5,1.0,0,62.5,0.0,0,0.06,0
UK,30/09/2023,Wolves,Manchester City,H,0.4,0.9,2,1, 2-1,V,,,,,,0.8,1.9,,O,6,22,9,19,9,0,12,3,1.4,0,71.4,0.0,0,0.12,0
UK,23/09/2023,Wolves,Luton,A,0.6,2.1,1,1, 1-1,N,Rouge 1,,,,,0.2,2.6,N,,3,18,8,19,21,1,11,2,2.0,1,52.5,0.1,0,0.11,0
UK,16/09/2023,Wolves,Liverpool,H,0.6,2.5,1,3, 1-3,D,,,,,,1.6,4.9,N,,18,35,18,35,29,5,23,9,2.3,0,38.9,0.12,0,0.02,0
UK,3/09/2023,Wolves,Crystal Palace,A,1.2,2.1,2,3, 2-3,D,,,,,,1.7,2.9,,N,23,34,9,20,46,10,17,4,3.9,1,52.0,0.06,1,0.08,0
UK,26/08/2023,Wolves,Everton,A,1.1,1.3,1,0, 1-0,V,,,,,,1.5,2.0,O,,19,23,5,21,34,6,11,2,1.5,0,39.1,0.01,0,0.29,0
UK,19/08/2023,Wolves,Brighton,H,2.1,2.2,1,4, 1-4,D,Rouge 1,,,,,3.4,4.1,,N,28,26,24,32,38,6,24,12,3.3,0,50.0,0.77,1,0.0,0
UK,14/08/2023,Wolves,Manchester United,A,2.2,2.2,0,1, 0-1,D,,,,,,3.4,3.9,,N,42,41,22,35,29,14,31,4,0.8,0,70.8,0.11,0,0.17,0
