Equipe,Absence 1,Absence 2,Absence 3,Absence 4,Style de jeu,Lien calendrier,Ligue
Real Sociedad,Merino,Kubo,Mendez,Zubimendi,Build up,https://fbref.com/fr/equipes/e31d1cd9/2023-2024/Statistiques-Real-Sociedad#all_matchlogs,ES
Sevilla,Ramos,Ocampos,Bade,En-Nesyri,Maintenance,https://fbref.com/fr/equipes/ad2be733/2023-2024/Statistiques-Sevilla#all_matchlogs,ES
Osasuna,Budimir,David Garcia,Areso,Munoz,Counter Attack,https://fbref.com/fr/equipes/03c57e2b/2023-2024/Statistiques-Osasuna#all_matchlogs,ES
Athletic Club,Inaki Williams,Nico Williams,Guruzeta,Berchiche,Direct,https://fbref.com/fr/equipes/2b390eca/2023-2024/Statistiques-Athletic-Club#all_matchlogs,ES
Atletico Madrid,Griezmann,Lino,Morata,De Paul,Counter Attack,https://fbref.com/fr/equipes/db3b9613/2023-2024/Statistiques-Atletico-Madrid,ES
Girona,Savinho/Savio,Herrera,Garcia,Dovbyk,Counter Attack,https://fbref.com/fr/equipes/9024a00a/2023-2024/Statistiques-Girona,ES
Barcelona,De Jong,Cancelo,Lewandowski,Gundogan,Maintenance,https://fbref.com/fr/equipes/206d90db/2023-2024/Statistiques-Barcelona,ES
Almeria,Pubill,Robertone,Embarba,Arribas,Counter Attack,https://fbref.com/fr/equipes/78ecf4bb/2023-2024/Statistiques-Almeria#all_matchlogs,ES
Alaves,Rioja,Gorosabel,Lopez,Vicente,Counter Attack,https://fbref.com/fr/equipes/8d6fd021/2023-2024/Statistiques-Alaves#all_matchlogs,ES
Villarreal,Sorloth,Moreno,Foyth,Baena,Build up,https://fbref.com/fr/equipes/2a8183b3/2023-2024/Statistiques-Villarreal#all_matchlogs,ES
Cadiz,Navarro,Alcaraz,Ramos,Hernandez,Counter Attack,https://fbref.com/fr/equipes/ee7c297c/2023-2024/Statistiques-Cadiz#all_matchlogs,ES
Granada,Zaragoza,Boye,Mendez,Pellistri,Counter Attack,https://fbref.com/fr/equipes/a0435291/2023-2024/Statistiques-Granada#all_matchlogs,ES
Celta Vigo,Aspas,Tapia,Larsen,Bamba,Build up,https://fbref.com/fr/equipes/f25da7fb/2023-2024/Statistiques-Celta-Vigo#all_matchlogs,ES
Mallorca,Raillo,Muriqi,Darder,Nastasic,Counter Attack,https://fbref.com/fr/equipes/2aa12281/2023-2024/Statistiques-Mallorca#all_matchlogs,ES
