Equipe 1,Equipe 2,Lieu,Date,Nb games,Key 1,Key 2,Resultat
Arsenal,West Ham,A,2024-02-11,50,0,1,1
Arsenal,Liverpool,H,2023-12-23,50,0,0,1
Newcastle United,Brentford,H,2023-09-16,50,0.5,1,1
Newcastle United,Manchester United,A,2024-05-15,50,0,0,0
Liverpool,Everton,A,2024-04-24,50,0,0,0
Liverpool,Brighton,H,2024-03-31,50,0.5,1.5,1
Tottenham,Wolves,H,2024-02-17,50,0.5,0.5,0
Tottenham,Nottingham Forest,A,2023-09-15,50,1,0.5,1
Aston Villa,Chelsea,H,2024-04-27,50,0,0,1
Aston Villa,Luton,A,2024-03-02,50,0,0.5,1
Manchester City,Newcastle United,A,2023-01-13,50,1,0,1
Manchester City,Aston Villa,A,2023-12-06,50,2,0,0
Manchester City,Brighton,A,2024-04-25,50,1,0.5,1
Brighton,Everton,H,2024-02-24,50,1,0,1
Brighton,Fulham,A,2024-03-02,50,2,1,0
Brighton,Crystal Palace,H,2024-02-02,50,0.5,2,1
Real Sociedad,Villarreal,A,2023-12-09,50,0,0.5,1
Real Sociedad,Osasuna,H,2024-02-10,50,0.5,0.5,0
Barcelona,Atletico Madrid,H,2023-12-03,50,0,1,1
Barcelona,Girona,H,2023-12-10,50,1,1,0
Atletico Madrid,Real Madrid,H,2023-09-24,50,0.5,1,1
Atletico Madrid,Athletic Club,A,2023-12-16,50,0.5,0,0
Girona,Getafe,A,2024-03-16,50,1,1,0
Girona,Athletic Club,H,2023-11-27,50,0.5,0.5,1
Athletic Club,Las Palmas,A,2024-03-10,50,0,0.5,1
Athletic Club,Atletico Madrid,H,2023-09-16,50,0,0,1
Real Madrid,Barcelona,H,2024-04-21,50,0,0,1
Real Madrid,Atletico Madrid,A,2023-09-24,50,1,0.5,0
Paris,Nice,H,2023-09-15,50,0,0,0
Paris,Marseille,A,2024-03-31,50,0,0.5,1
Monaco,Montpellier,A,2024-05-12,50,1.5,2,1
Monaco,Strasbourg,H,2023-08-20,50,0,1,1
Lille,Nantes,A,2024-05-12,50,0,1,1
Lille,Lens,H,2024-03-29,50,0,0,1
Brest,Nice,H,2024-04-02,50,0,1,1
Brest,Lyon,A,2024-04-14,50,0.5,0.5,0
Nice,Marseille,H,2023-10-21,50,1,0,1
Nice,Lyon,A,2024-02-16,50,0.5,0.5,0
Milan,Roma,H,2024-01-14,50,0,1.5,1
Milan,Monza,A,2024-02-18,50,1.5,0,0
Lens,Strasbourg,H,2024-02-10,50,0,0.5,1
Bologna,Fiorentina,H,2024-02-14,50,1,1,1
Bologna,Sassuolo,A,2023-10-28,50,0,0,1
Inter,Juventus,H,2024-02-04,50,0,1,1
Inter,Sassuolo,A,2023-09-27,50,0,0,0
Atalanta,Torino,H,2024-05-26,50,0.5,0,1
Atalanta,Genoa,A,2024-02-11,50,0.5,0.5,1
Lazio,Udinese,H,2024-03-11,50,0,1,0
Lazio,Frosinone,A,2024-03-16,50,0.5,0,1
Bayer Leverkusen,Bayern Munich,H,2024-02-10,50,0.5,0.5,1
Bayer Leverkusen,Stuttgart,A,2023-12-10,50,0,0,1
Bayern Munich,RB Leipzig,H,2024-02-24,50,0.5,0,1
Bayern Munich,Heidenheim,A,2024-04-06,50,1,0,0
RB Leipzig,Eintracht Frankfurt,H,2024-01-13,50,1.5,1.5,0
RB Leipzig,Freiburg,A,2024-04-06,50,0,1,1
Dortmund,Stuttgart,H,2024-04-06,50,0,0,0
Dortmund,Mönchengladbach,A,2024-04-13,50,1,1,1
Stuttgart,Hoffenheim,H,2023-10-28,50,1.5,1,0
Stuttgart,Dortmund,H,2023-11-11,50,0.5,1.5,1
Dortmund,Hoffenheim,H,2024-02-25,50,0,0,0
Monaco,Marseille,A,2024-04-27,50,1,0.5,1
Girona,Celta Vigo,A,2024-01-28,50,0,0.5,1
Atletico Madrid,Barcelona,H,2024-03-17,50,0.5,1.5,0
Brighton,Manchester United,H,2024-05-19,50,0.5,0.5,0
Tottenham,Newcastle United,A,2024-04-14,50,0,0.5,0
Crystal Palace,West Ham,H,2024-04-21,50,0,0.5,1
Barcelona,Real Sociedad,H,2024-05-12,50,1,1.5,1
Monaco,Reims,H,2024-01-13,50,1,1,0
Milan,Udinese,A,2024-01-20,50,0,1,1
Paris,Milan,H,2023-10-24,50,0,0,1
