Equipe,G1,XG1,XA1,AMT,Passes prog,Passes surface,Poss prog,Poss surface,Dribbles tentés,Ratio_drib,G2,XG2,XA2,TCL,Erreurs,Aerien win,Absences,Domination,Top_gb,Efficacite,Att_reg,Def_reg,Ppda,Xpts,g1_dead,g2_dead,Classement reel,Points reels,Groupe,Keep score,Back score,Ligue
Alaves,0.95,1.22,1.66,21.5,33.16,7.18,14.47,3.63,16.45,0.49,1.21,1.16,1.7,22.55,0.13,48.69,0.61,0.39,0.53,0.29,0.34,0.71,13.91,1.33,0.11,0.13,10,46,3,0.62,0.18,ES
Almeria,1.13,1.28,1.56,21.66,28.87,5.58,15.53,3.47,17.55,0.43,1.97,1.63,2.39,24.89,0.5,49.14,0.72,0.34,0.37,0.37,0.37,0.37,13.86,1.01,0.03,0.05,19,21,4,0.2,0.22,ES
Arsenal,2.29,1.87,2.82,29.21,53.23,13.15,21.19,8.15,18.25,0.43,0.77,0.75,1.09,23.19,0.4,51.62,0.25,0.77,0.46,0.56,0.56,0.94,9.76,2.16,0.27,0.1,2,89,1,0.86,0.45,UK
Aston Villa,2.0,1.67,2.43,24.0,38.18,9.55,20.39,5.71,19.92,0.45,1.61,1.58,2.33,20.61,0.34,48.51,0.22,0.5,0.5,0.58,0.5,0.42,15.72,1.46,0.11,0.13,4,68,2,0.77,0.4,UK
Atalanta,1.9,1.58,2.2,24.86,45.88,9.73,19.06,4.8,16.51,0.46,0.98,1.13,1.48,26.1,0.2,56.74,0.52,0.65,0.49,0.61,0.45,0.69,12.05,1.77,0.06,0.08,4,69,2,0.76,0.47,IT
Athletic Club,1.61,1.39,2.04,21.5,42.37,9.03,19.34,5.08,19.55,0.46,0.97,1.08,1.63,22.61,0.11,50.62,0.55,0.58,0.58,0.58,0.39,0.84,10.94,1.64,0.11,0.08,5,68,2,0.74,0.36,ES
Atletico Madrid,1.94,1.65,2.38,22.98,41.88,10.04,19.35,4.94,14.85,0.49,1.17,1.08,1.73,23.69,0.25,49.69,0.4,0.69,0.48,0.5,0.44,0.75,13.96,1.84,0.04,0.02,4,76,2,0.93,0.33,ES
Augsburg,1.47,1.36,1.93,21.35,33.44,8.35,13.59,2.68,15.62,0.45,1.76,1.69,2.48,24.21,0.26,49.28,0.54,0.38,0.44,0.47,0.41,0.35,13.06,1.15,0.12,0.24,11,39,3,0.55,0.39,AL
Barcelona,2.06,1.97,3.02,27.83,50.02,10.29,24.83,7.0,22.23,0.47,1.21,1.1,1.65,22.19,0.46,54.84,0.71,0.81,0.48,0.5,0.62,0.75,8.6,2.03,0.15,0.02,2,85,1,0.79,0.64,ES
Bayer Leverkusen,2.55,2.13,3.45,33.0,55.68,13.09,26.09,7.11,20.26,0.47,0.79,0.94,1.47,20.45,0.3,53.07,0.63,0.83,0.49,0.62,0.7,0.77,14.7,2.24,0.19,0.04,1,90,1,0.97,0.91,AL
Bayern Munich,2.5,2.27,3.71,31.74,54.35,12.24,26.89,7.67,25.17,0.54,1.26,1.03,1.52,24.13,0.46,54.97,0.49,0.74,0.46,0.57,0.74,0.76,12.14,2.26,0.2,0.09,3,72,1,0.83,0.64,AL
Bochum,1.24,1.31,1.88,26.0,33.85,7.79,11.76,2.68,12.82,0.43,2.18,1.87,2.85,26.79,0.26,49.05,1.34,0.32,0.35,0.44,0.29,0.5,9.82,1.15,0.15,0.18,16,33,4,0.38,0.25,AL
